config,phase,base_model,swap_model,MAR,is_uniform,U-Min,Max-Min
M1R1-M1R1-M1R1,P,m1,M1R1,2.7566840277777778,True,0.05240162037037077,0.40895543981481497
M2R1-M1R1-M1R1,P,m1,M2R1,2.704282407407407,False,0.05240162037037077,0.40895543981481497
M2R2-M1R1-M1R1,P,m1,M2R2,3.0739438657407407,False,0.05240162037037077,0.40895543981481497
M2R3-M1R1-M1R1,P,m1,M2R3,3.0890480324074074,False,0.05240162037037077,0.40895543981481497
M3R1-M1R1-M1R1,P,m1,M3R1,3.113237847222222,False,0.05240162037037077,0.40895543981481497
M1R1-M2R1-M2R1,P,m2,M1R1,1.678515625,False,0.04383680555555558,0.10908564814814836
M2R1-M2R1-M2R1,P,m2,M2R1,1.6132667824074072,True,0.04383680555555558,0.10908564814814836
M2R2-M2R1-M2R1,P,m2,M2R2,1.621657986111111,False,0.04383680555555558,0.10908564814814836
M2R3-M2R1-M2R1,P,m2,M2R3,1.5694299768518516,False,0.04383680555555558,0.10908564814814836
M3R1-M2R1-M2R1,P,m2,M3R1,1.5772424768518516,False,0.04383680555555558,0.10908564814814836
M1R1-M3R1-M3R1,P,m3,M1R1,1.4470341435185183,False,0.04528356481481488,0.04803240740740744
M2R1-M3R1-M3R1,P,m3,M2R1,1.4815393518518518,False,0.04528356481481488,0.04803240740740744
M2R2-M3R1-M3R1,P,m3,M2R2,1.4450954861111112,False,0.04528356481481488,0.04803240740740744
M2R3-M3R1-M3R1,P,m3,M2R3,1.4931278935185186,False,0.04528356481481488,0.04803240740740744
M3R1-M3R1-M3R1,P,m3,M3R1,1.490379050925926,True,0.04528356481481488,0.04803240740740744
M1R1-M1R1-M1R1,T,m1,M1R1,2.7566840277777778,True,0.3027054398148148,0.3027054398148148
M1R1-M2R1-M1R1,T,m1,M2R1,2.4871093749999997,False,0.3027054398148148,0.3027054398148148
M1R1-M2R2-M1R1,T,m1,M2R2,2.5297164351851853,False,0.3027054398148148,0.3027054398148148
M1R1-M2R3-M1R1,T,m1,M2R3,2.453978587962963,False,0.3027054398148148,0.3027054398148148
M1R1-M3R1-M1R1,T,m1,M3R1,2.5234230324074076,False,0.3027054398148148,0.3027054398148148
M2R1-M1R1-M2R1,T,m2,M1R1,1.643070023148148,False,0.0371817129629628,0.06698495370370372
M2R1-M2R1-M2R1,T,m2,M2R1,1.6132667824074072,True,0.0371817129629628,0.06698495370370372
M2R1-M2R2-M2R1,T,m2,M2R2,1.5847656250000002,False,0.0371817129629628,0.06698495370370372
M2R1-M2R3-M2R1,T,m2,M2R3,1.5760850694444444,False,0.0371817129629628,0.06698495370370372
M2R1-M3R1-M2R1,T,m2,M3R1,1.6006799768518516,False,0.0371817129629628,0.06698495370370372
M3R1-M1R1-M3R1,T,m3,M1R1,1.6216001157407407,False,0.01938657407407418,0.15060763888888884
M3R1-M2R1-M3R1,T,m3,M2R1,1.4709924768518519,False,0.01938657407407418,0.15060763888888884
M3R1-M2R2-M3R1,T,m3,M2R2,1.5261140046296298,False,0.01938657407407418,0.15060763888888884
M3R1-M2R3-M3R1,T,m3,M2R3,1.4928385416666667,False,0.01938657407407418,0.15060763888888884
M3R1-M3R1-M3R1,T,m3,M3R1,1.490379050925926,True,0.01938657407407418,0.15060763888888884
M1R1-M1R1-M1R1,F,m1,M1R1,2.7566840277777778,True,1.2157552083333332,1.2157552083333332
M1R1-M1R1-M2R1,F,m1,M2R1,1.7324797453703704,False,1.2157552083333332,1.2157552083333332
M1R1-M1R1-M2R2,F,m1,M2R2,1.7435474537037037,False,1.2157552083333332,1.2157552083333332
M1R1-M1R1-M2R3,F,m1,M2R3,1.7130208333333332,False,1.2157552083333332,1.2157552083333332
M1R1-M1R1-M3R1,F,m1,M3R1,1.5409288194444446,False,1.2157552083333332,1.2157552083333332
M2R1-M2R1-M1R1,F,m2,M1R1,2.6410445601851853,False,0.16932870370370368,1.1971064814814818
M2R1-M2R1-M2R1,F,m2,M2R1,1.6132667824074072,True,0.16932870370370368,1.1971064814814818
M2R1-M2R1-M2R2,F,m2,M2R2,1.5751446759259258,False,0.16932870370370368,1.1971064814814818
M2R1-M2R1-M2R3,F,m2,M2R3,1.578327546296296,False,0.16932870370370368,1.1971064814814818
M2R1-M2R1-M3R1,F,m2,M3R1,1.4439380787037035,False,0.16932870370370368,1.1971064814814818
M3R1-M3R1-M1R1,F,m3,M1R1,2.7834924768518516,False,0.0,1.2931134259259256
M3R1-M3R1-M2R1,F,m3,M2R1,1.556987847222222,False,0.0,1.2931134259259256
M3R1-M3R1-M2R2,F,m3,M2R2,1.553226273148148,False,0.0,1.2931134259259256
M3R1-M3R1-M2R3,F,m3,M2R3,1.5676938657407407,False,0.0,1.2931134259259256
M3R1-M3R1-M3R1,F,m3,M3R1,1.490379050925926,True,0.0,1.2931134259259256
