config,phase,base_model,swap_model,MAR,is_uniform,U-Min,Max-Min
M1R1-M1R1-M1R1,P,m1,M1R1,3.9631899350649347,True,0.11348755411255329,0.26902056277056285
M2R1-M1R1-M1R1,P,m1,M2R1,3.8497023809523814,False,0.11348755411255329,0.26902056277056285
M2R2-M1R1-M1R1,P,m1,M2R2,4.118722943722944,False,0.11348755411255329,0.26902056277056285
M2R3-M1R1-M1R1,P,m1,M2R3,3.9780167748917745,False,0.11348755411255329,0.26902056277056285
M3R1-M1R1-M1R1,P,m1,M3R1,4.095670995670996,False,0.11348755411255329,0.26902056277056285
M1R1-M2R1-M2R1,P,m2,M1R1,2.4102949134199134,False,0.1901244588744584,0.1901244588744584
M2R1-M2R1-M2R1,P,m2,M2R1,2.4264475108225105,True,0.1901244588744584,0.1901244588744584
M2R2-M2R1-M2R1,P,m2,M2R2,2.309293831168831,False,0.1901244588744584,0.1901244588744584
M2R3-M2R1-M2R1,P,m2,M2R3,2.300229978354978,False,0.1901244588744584,0.1901244588744584
M3R1-M2R1-M2R1,P,m2,M3R1,2.236323051948052,False,0.1901244588744584,0.1901244588744584
M1R1-M3R1-M3R1,P,m3,M1R1,2.097849025974026,False,0.04660443722943741,0.09023268398268414
M2R1-M3R1-M3R1,P,m3,M2R1,2.096428571428571,False,0.04660443722943741,0.09023268398268414
M2R2-M3R1-M3R1,P,m3,M2R2,2.0286525974025977,False,0.04660443722943741,0.09023268398268414
M2R3-M3R1-M3R1,P,m3,M2R3,2.007616341991342,False,0.04660443722943741,0.09023268398268414
M3R1-M3R1-M3R1,P,m3,M3R1,2.0542207792207794,True,0.04660443722943741,0.09023268398268414
M1R1-M1R1-M1R1,T,m1,M1R1,3.9631899350649347,True,0.55435606060606,0.55435606060606
M1R1-M2R1-M1R1,T,m1,M2R1,3.5261228354978353,False,0.55435606060606,0.55435606060606
M1R1-M2R2-M1R1,T,m1,M2R2,3.4088338744588746,False,0.55435606060606,0.55435606060606
M1R1-M2R3-M1R1,T,m1,M2R3,3.5286255411255407,False,0.55435606060606,0.55435606060606
M1R1-M3R1-M1R1,T,m1,M3R1,3.4621347402597404,False,0.55435606060606,0.55435606060606
M2R1-M1R1-M2R1,T,m2,M1R1,2.4845643939393938,False,0.14253246753246707,0.2006493506493503
M2R1-M2R1-M2R1,T,m2,M2R1,2.4264475108225105,True,0.14253246753246707,0.2006493506493503
M2R1-M2R2-M2R1,T,m2,M2R2,2.322524350649351,False,0.14253246753246707,0.2006493506493503
M2R1-M2R3-M2R1,T,m2,M2R3,2.3582656926406926,False,0.14253246753246707,0.2006493506493503
M2R1-M3R1-M2R1,T,m2,M3R1,2.2839150432900435,False,0.14253246753246707,0.2006493506493503
M3R1-M1R1-M3R1,T,m3,M1R1,2.221766774891775,False,0.027529761904762307,0.1950757575757578
M3R1-M2R1-M3R1,T,m3,M2R1,2.0312905844155846,False,0.027529761904762307,0.1950757575757578
M3R1-M2R2-M3R1,T,m3,M2R2,2.026691017316017,False,0.027529761904762307,0.1950757575757578
M3R1-M2R3-M3R1,T,m3,M2R3,2.0268262987012986,False,0.027529761904762307,0.1950757575757578
M3R1-M3R1-M3R1,T,m3,M3R1,2.0542207792207794,True,0.027529761904762307,0.1950757575757578
M1R1-M1R1-M1R1,F,m1,M1R1,3.9631899350649347,True,1.641260822510822,1.641260822510822
M1R1-M1R1-M2R1,F,m1,M2R1,2.6311417748917747,False,1.641260822510822,1.641260822510822
M1R1-M1R1-M2R2,F,m1,M2R2,2.603950216450216,False,1.641260822510822,1.641260822510822
M1R1-M1R1-M2R3,F,m1,M2R3,2.45101461038961,False,1.641260822510822,1.641260822510822
M1R1-M1R1-M3R1,F,m1,M3R1,2.3219291125541126,False,1.641260822510822,1.641260822510822
M2R1-M2R1-M1R1,F,m2,M1R1,3.566287878787879,False,0.2819264069264067,1.421766774891775
M2R1-M2R1-M2R1,F,m2,M2R1,2.4264475108225105,True,0.2819264069264067,1.421766774891775
M2R1-M2R1-M2R2,F,m2,M2R2,2.2903679653679654,False,0.2819264069264067,1.421766774891775
M2R1-M2R1-M2R3,F,m2,M2R3,2.251298701298701,False,0.2819264069264067,1.421766774891775
M2R1-M2R1-M3R1,F,m2,M3R1,2.144521103896104,False,0.2819264069264067,1.421766774891775
M3R1-M3R1-M1R1,F,m3,M1R1,3.627719155844156,False,0.0,1.5734983766233768
M3R1-M3R1-M2R1,F,m3,M2R1,2.1522456709956708,False,0.0,1.5734983766233768
M3R1-M3R1-M2R2,F,m3,M2R2,2.211904761904762,False,0.0,1.5734983766233768
M3R1-M3R1-M2R3,F,m3,M2R3,2.123701298701299,False,0.0,1.5734983766233768
M3R1-M3R1-M3R1,F,m3,M3R1,2.0542207792207794,True,0.0,1.5734983766233768
