config,phase,base_model,swap_model,Cost,is_uniform,Cost (norm),U-Min ($),U-Min (norm),Max-Min ($),Max-Min (norm)
M1R1-M1R1-M1R1,P,m1,M1R1,0.0013073368055555555,True,0.0,0.0,0.0,0.007150899305555555,0.2622817681823658
M2R1-M1R1-M1R1,P,m1,M2R1,0.0019618923611111113,False,0.024007887840250357,0.0,0.0,0.007150899305555555,0.2622817681823658
M2R2-M1R1-M1R1,P,m1,M2R2,0.002664388888888889,False,0.04977416192334114,0.0,0.0,0.007150899305555555,0.2622817681823658
M2R3-M1R1-M1R1,P,m1,M2R3,0.0029711736111111115,False,0.061026458446838225,0.0,0.0,0.007150899305555555,0.2622817681823658
M3R1-M1R1-M1R1,P,m1,M3R1,0.00845823611111111,False,0.2622817681823658,0.0,0.0,0.007150899305555555,0.2622817681823658
M1R1-M2R1-M2R1,P,m2,M1R1,0.00690159375,False,0.2051870038101977,0.0,0.0,0.006971944444444443,0.2557180346725698
M2R1-M2R1-M2R1,P,m2,M2R1,0.006742701388888889,True,0.19935912571512845,0.0,0.0,0.006971944444444443,0.2557180346725698
M2R2-M2R1-M2R1,P,m2,M2R2,0.007525256944444444,False,0.22806181694902475,0.0,0.0,0.006971944444444443,0.2557180346725698
M2R3-M2R1-M2R1,P,m2,M2R3,0.007636006944444446,False,0.232123922229074,0.0,0.0,0.006971944444444443,0.2557180346725698
M3R1-M2R1-M2R1,P,m2,M3R1,0.013714645833333332,False,0.45507716038769824,0.0,0.0,0.006971944444444443,0.2557180346725698
M1R1-M3R1-M3R1,P,m3,M1R1,0.026540510416666663,False,0.925506164858612,0.005461486111111108,0.20031721506870903,0.005461486111111108,0.20031721506870903
M2R1-M3R1-M3R1,P,m3,M2R1,0.024109104166666666,False,0.8363266780317995,0.005461486111111108,0.20031721506870903,0.005461486111111108,0.20031721506870903
M2R2-M3R1-M3R1,P,m3,M2R2,0.023110038194444446,False,0.799682784931291,0.005461486111111108,0.20031721506870903,0.005461486111111108,0.20031721506870903
M2R3-M3R1-M3R1,P,m3,M2R3,0.024320065972222225,False,0.8440643670993926,0.005461486111111108,0.20031721506870903,0.005461486111111108,0.20031721506870903
M3R1-M3R1-M3R1,P,m3,M3R1,0.028571524305555554,True,1.0,0.005461486111111108,0.20031721506870903,0.005461486111111108,0.20031721506870903
M1R1-M1R1-M1R1,T,m1,M1R1,0.0013073368055555555,True,0.0,0.0,0.0,0.020139913194444446,0.7386947876016642
M1R1-M2R1-M1R1,T,m1,M2R1,0.005941718750000001,False,0.16998056312679208,0.0,0.0,0.020139913194444446,0.7386947876016642
M1R1-M2R2-M1R1,T,m1,M2R2,0.004874055555555556,False,0.13082065071625554,0.0,0.0,0.020139913194444446,0.7386947876016642
M1R1-M2R3-M1R1,T,m1,M2R3,0.008956506944444444,False,0.2805574213018044,0.0,0.0,0.020139913194444446,0.7386947876016642
M1R1-M3R1-M1R1,T,m1,M3R1,0.02144725,False,0.7386947876016642,0.0,0.0,0.020139913194444446,0.7386947876016642
M2R1-M1R1-M2R1,T,m2,M1R1,0.002732947916666667,False,0.0522887803317488,0.004009753472222223,0.14707034538337965,0.01736092361111111,0.6367665866115068
M2R1-M2R1-M2R1,T,m2,M2R1,0.006742701388888889,True,0.19935912571512845,0.004009753472222223,0.14707034538337965,0.01736092361111111,0.6367665866115068
M2R1-M2R2-M2R1,T,m2,M2R2,0.005835875,False,0.16609841002760287,0.004009753472222223,0.14707034538337965,0.01736092361111111,0.6367665866115068
M2R1-M2R3-M2R1,T,m2,M2R3,0.009739614583333334,False,0.30928036193184844,0.004009753472222223,0.14707034538337965,0.01736092361111111,0.6367665866115068
M2R1-M3R1-M2R1,T,m2,M3R1,0.020093871527777776,False,0.6890553669432555,0.004009753472222223,0.14707034538337965,0.01736092361111111,0.6367665866115068
M3R1-M1R1-M3R1,T,m3,M1R1,0.013046315972222222,False,0.43056405648129686,0.015525208333333332,0.5694359435187031,0.015525208333333332,0.5694359435187031
M3R1-M2R1-M3R1,T,m3,M2R1,0.01759035763888889,False,0.5972311052120418,0.015525208333333332,0.5694359435187031,0.015525208333333332,0.5694359435187031
M3R1-M2R2-M3R1,T,m3,M2R2,0.015650694444444446,False,0.5260878446822922,0.015525208333333332,0.5694359435187031,0.015525208333333332,0.5694359435187031
M3R1-M2R3-M3R1,T,m3,M2R3,0.019239107638888888,False,0.6577042075188683,0.015525208333333332,0.5694359435187031,0.015525208333333332,0.5694359435187031
M3R1-M3R1-M3R1,T,m3,M3R1,0.028571524305555554,True,1.0,0.015525208333333332,0.5694359435187031,0.015525208333333332,0.5694359435187031
M1R1-M1R1-M1R1,F,m1,M1R1,0.0013073368055555555,True,0.0,0.0,0.0,0.004869552083333333,0.17860616911225885
M1R1-M1R1-M2R1,F,m1,M2R1,0.002130923611111111,False,0.030207641638158325,0.0,0.0,0.004869552083333333,0.17860616911225885
M1R1-M1R1-M2R2,F,m1,M2R2,0.0026314375,False,0.048565565889115335,0.0,0.0,0.004869552083333333,0.17860616911225885
M1R1-M1R1-M2R3,F,m1,M2R3,0.0038422361111111114,False,0.09297542079900807,0.0,0.0,0.004869552083333333,0.17860616911225885
M1R1-M1R1-M3R1,F,m1,M3R1,0.006176888888888889,False,0.17860616911225885,0.0,0.0,0.004869552083333333,0.17860616911225885
M2R1-M2R1-M1R1,F,m2,M1R1,0.005942229166666667,False,0.16999928426662675,0.0008004722222222224,0.029359841448501706,0.005142822916666666,0.1886292381413041
M2R1-M2R1-M2R1,F,m2,M2R1,0.006742701388888889,True,0.19935912571512845,0.0008004722222222224,0.029359841448501706,0.005142822916666666,0.1886292381413041
M2R1-M2R1-M2R2,F,m2,M2R2,0.0074053888888888884,False,0.22366527824580626,0.0008004722222222224,0.029359841448501706,0.005142822916666666,0.1886292381413041
M2R1-M2R1-M2R3,F,m2,M2R3,0.008648052083333335,False,0.2692438671710932,0.0008004722222222224,0.029359841448501706,0.005142822916666666,0.1886292381413041
M2R1-M2R1-M3R1,F,m2,M3R1,0.011085052083333333,False,0.35862852240793086,0.0008004722222222224,0.029359841448501706,0.005142822916666666,0.1886292381413041
M3R1-M3R1-M1R1,F,m3,M1R1,0.02489026736111111,False,0.8649783000339019,0.0036812569444444436,0.13502169996609814,0.0036812569444444436,0.13502169996609814
M3R1-M3R1-M2R1,F,m3,M2R1,0.025684840277777777,False,0.8941217658594163,0.0036812569444444436,0.13502169996609814,0.0036812569444444436,0.13502169996609814
M3R1-M3R1-M2R2,F,m3,M2R2,0.02619467013888889,False,0.9128213827510295,0.0036812569444444436,0.13502169996609814,0.0036812569444444436,0.13502169996609814
M3R1-M3R1-M2R3,F,m3,M2R3,0.027052493055555557,False,0.9442847416597323,0.0036812569444444436,0.13502169996609814,0.0036812569444444436,0.13502169996609814
M3R1-M3R1-M3R1,F,m3,M3R1,0.028571524305555554,True,1.0,0.0036812569444444436,0.13502169996609814,0.0036812569444444436,0.13502169996609814
