config,phase,base_model,swap_model,Cost,is_uniform,Cost (norm),U-Min ($),U-Min (norm),Max-Min ($),Max-Min (norm)
M1R1-M1R1-M1R1,P,m1,M1R1,0.000895487012987013,True,0.0,0.0,0.0,0.0072979350649350645,0.32229636756942304
M2R1-M1R1-M1R1,P,m1,M2R1,0.0016687256493506494,False,0.03414829010492867,0.0,0.0,0.0072979350649350645,0.32229636756942304
M2R2-M1R1-M1R1,P,m1,M2R2,0.002116834415584415,False,0.05393797394674338,0.0,0.0,0.0072979350649350645,0.32229636756942304
M2R3-M1R1-M1R1,P,m1,M2R3,0.0025060405844155847,False,0.07112636125545037,0.0,0.0,0.0072979350649350645,0.32229636756942304
M3R1-M1R1-M1R1,P,m1,M3R1,0.008193422077922077,False,0.32229636756942304,0.0,0.0,0.0072979350649350645,0.32229636756942304
M1R1-M2R1-M2R1,P,m2,M1R1,0.006407787337662338,False,0.2434379527615619,0.0,0.0,0.007236449675324675,0.3195810080117266
M2R1-M2R1-M2R1,P,m2,M2R1,0.006372410714285714,True,0.2418756262802069,0.0,0.0,0.007236449675324675,0.3195810080117266
M2R2-M2R1-M2R1,P,m2,M2R2,0.0069497126623376615,False,0.2673708272092864,0.0,0.0,0.007236449675324675,0.3195810080117266
M2R3-M2R1-M2R1,P,m2,M2R3,0.007317905844155845,False,0.2836312247063809,0.0,0.0,0.007236449675324675,0.3195810080117266
M3R1-M2R1-M2R1,P,m2,M3R1,0.01360886038961039,False,0.5614566342919335,0.0,0.0,0.007236449675324675,0.3195810080117266
M1R1-M3R1-M3R1,P,m3,M1R1,0.01618666396103896,False,0.6752993473315166,0.008266219155844157,0.36505838757898823,0.008266219155844157,0.36505838757898823
M2R1-M3R1-M3R1,P,m3,M2R1,0.01694174188311688,False,0.7086456116312452,0.008266219155844157,0.36505838757898823,0.008266219155844157,0.36505838757898823
M2R2-M3R1-M3R1,P,m3,M2R2,0.015272821428571429,False,0.6349416124210118,0.008266219155844157,0.36505838757898823,0.008266219155844157,0.36505838757898823
M2R3-M3R1-M3R1,P,m3,M2R3,0.015499298701298698,False,0.6449434556393411,0.008266219155844157,0.36505838757898823,0.008266219155844157,0.36505838757898823
