Config,MAR,Cost,MAR/ref,Cost/ref,dist,alpha_max,region
M1R1-M1R1-M2R1,1.7325,0.0021,0.963,0.3628,-0.1426,0.281,crosses
M2R1-M1R1-M2R1,1.6431,0.0027,0.9627,0.4332,-0.1363,0.269,crosses
M1R1-M1R1-M2R2,1.7435,0.0026,0.9681,0.449,-0.1231,0.242,crosses
M1R1-M1R1-M2R3,1.713,0.0038,0.9772,0.6313,-0.0856,0.169,crosses
M2R1-M2R1-M3R1,1.4439,0.0111,0.9135,0.9897,-0.082,0.085,crosses
M2R1-M2R2-M2R1,1.5848,0.0058,0.9823,0.8655,-0.0374,0.072,crosses
M1R1-M1R1-M3R1,1.5409,0.0062,0.9669,0.8777,-0.0447,0.063,crosses
M3R1-M2R1-M3R1,1.471,0.0176,0.9487,0.9934,-0.0478,0.049,between
M2R2-M3R1-M3R1,1.4451,0.0231,0.9507,0.9952,-0.0451,0.046,between
M1R1-M3R1-M3R1,1.447,0.0265,0.9639,0.997,-0.0326,0.033,between
M3R1-M2R3-M3R1,1.4928,0.0192,0.9683,0.9963,-0.0294,0.030,between
M3R1-M2R2-M3R1,1.5261,0.0157,0.9772,0.9967,-0.0214,0.022,between
M2R1-M3R1-M3R1,1.4815,0.0241,0.978,0.998,-0.02,0.020,between
M2R3-M2R1-M2R1,1.5694,0.0076,0.986,0.9975,-0.0134,0.014,between
M2R3-M3R1-M3R1,1.4931,0.0243,0.9864,0.9987,-0.0124,0.013,between
M2R1-M2R1-M2R2,1.5751,0.0074,0.9891,0.998,-0.0104,0.011,between
M2R1-M2R1-M2R3,1.5783,0.0086,0.9935,0.999,-0.0062,0.006,between
M2R1-M2R3-M2R1,1.5761,0.0097,0.9943,0.9992,-0.0054,0.006,between
M2R1-M1R1-M1R1,2.7043,0.002,1.0025,1.2365,0.0143,-,above
M1R1-M2R1-M1R1,2.4871,0.0059,1.0227,2.0864,0.1181,-,above
M2R2-M1R1-M1R1,3.0739,0.0027,1.1151,2.0429,0.1965,-,above
M1R1-M2R2-M1R1,2.5297,0.0049,1.0164,1.891,0.0877,-,above
M2R3-M1R1-M1R1,3.089,0.003,1.1206,2.278,0.2082,-,above
M1R1-M2R3-M1R1,2.454,0.009,1.0434,2.774,0.2187,-,above
M3R1-M1R1-M1R1,3.1132,0.0085,1.1293,6.4935,0.3382,-,above
M1R1-M3R1-M1R1,2.5234,0.0214,1.6408,1.0729,0.5928,-,above
M1R1-M2R1-M2R1,1.6785,0.0069,1.0046,1.0669,0.0165,-,above
M2R1-M2R1-M1R1,2.641,0.0059,1.0261,2.7359,0.144,-,above
M2R2-M2R1-M2R1,1.6217,0.0075,1.0185,1.0033,0.0176,-,above
M3R1-M2R1-M2R1,1.5772,0.0137,1.0029,1.0003,0.0028,-,above
M2R1-M3R1-M2R1,1.6007,0.0201,1.0409,1.0046,0.0378,-,above
M3R1-M1R1-M3R1,1.6216,0.013,1.0297,1.003,0.028,-,above
M3R1-M3R1-M1R1,2.7835,0.0249,1.8299,1.081,0.7593,-,above
M3R1-M3R1-M2R1,1.557,0.0257,1.0333,1.0029,0.0302,-,above
M3R1-M3R1-M2R2,1.5532,0.0262,1.0328,1.0028,0.0296,-,above
M3R1-M3R1-M2R3,1.5677,0.0271,1.0456,1.0037,0.0411,-,above
