Project,BugId,Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
ansible,1,Ochiai,1.5,1.5,0,1,1,1,1,0.038461538461538464,0,0,0,
ansible,1,SBIR,5.0,5.0,0,0,0,0,1,0.3076923076923077,0,0,0,
ansible,1,BoostN,3.0,3.0,0,0,1,1,1,0.15384615384615385,0,0,0,
ansible,2,Ochiai,3.5,5.25,0,0,0,1,1,0.3333333333333333,0,0,0,
ansible,2,SBIR,11.0,12.0,0,0,0,0,0,0.7333333333333333,0,0,0,
ansible,2,BoostN,14.5,14.5,0,0,0,0,0,0.8333333333333334,0,0,0,
ansible,3,Ochiai,,,0,0,0,0,0,,0,0,0,
ansible,3,SBIR,,,0,0,0,0,0,,0,0,0,
ansible,3,BoostN,,,0,0,0,0,0,,0,0,0,
ansible,4,Ochiai,2.5,2.5,0,0,1,1,1,0.1,0,0,0,
ansible,4,SBIR,6.0,6.0,0,0,0,0,0,0.3333333333333333,0,0,0,
ansible,4,BoostN,10.0,10.0,0,0,0,0,0,0.6,0,0,0,
ansible,5,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
ansible,5,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
ansible,5,BoostN,7.0,7.0,0,0,0,0,0,0.5,0,0,0,
ansible,13,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
ansible,13,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
ansible,13,BoostN,2.0,2.0,0,1,1,1,1,0.09090909090909091,0,0,0,
ansible,14,Ochiai,,,0,0,0,0,0,,0,0,0,
ansible,14,SBIR,,,0,0,0,0,0,,0,0,0,
ansible,14,BoostN,,,0,0,0,0,0,,0,0,0,
black,1,Ochiai,4.0,4.0,0,0,0,1,1,0.25,0,0,0,
black,1,SBIR,4.0,4.0,0,0,0,1,1,0.25,0,0,0,
black,1,BoostN,5.0,5.0,0,0,0,0,1,0.3333333333333333,0,0,0,
black,2,Ochiai,,,0,0,0,0,0,,0,0,0,
black,2,SBIR,,,0,0,0,0,0,,0,0,0,
black,2,BoostN,,,0,0,0,0,0,,0,0,0,
black,3,Ochiai,,,0,0,0,0,0,,0,0,0,
black,3,SBIR,,,0,0,0,0,0,,0,0,0,
black,3,BoostN,,,0,0,0,0,0,,0,0,0,
black,4,Ochiai,,,0,0,0,0,0,,0,0,0,
black,4,SBIR,,,0,0,0,0,0,,0,0,0,
black,4,BoostN,,,0,0,0,0,0,,0,0,0,
black,5,Ochiai,,,0,0,0,0,0,,0,0,0,
black,5,SBIR,,,0,0,0,0,0,,0,0,0,
black,5,BoostN,,,0,0,0,0,0,,0,0,0,
black,6,Ochiai,,,0,0,0,0,0,,0,0,0,
black,6,SBIR,,,0,0,0,0,0,,0,0,0,
black,6,BoostN,,,0,0,0,0,0,,0,0,0,
black,7,Ochiai,,,0,0,0,0,0,,0,0,0,
black,7,SBIR,,,0,0,0,0,0,,0,0,0,
black,7,BoostN,,,0,0,0,0,0,,0,0,0,
black,8,Ochiai,,,0,0,0,0,0,,0,0,0,
black,8,SBIR,,,0,0,0,0,0,,0,0,0,
black,8,BoostN,,,0,0,0,0,0,,0,0,0,
black,9,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,9,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,9,BoostN,4.5,4.5,0,0,0,0,1,0.2916666666666667,0,0,0,
black,10,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,10,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,10,BoostN,5.5,5.5,0,0,0,0,0,0.3,0,0,0,
black,11,Ochiai,8.0,8.0,0,0,0,0,0,0.4375,0,0,0,
black,11,SBIR,7.0,7.0,0,0,0,0,0,0.375,0,0,0,
black,11,BoostN,4.0,4.0,0,0,0,1,1,0.1875,0,0,0,
black,13,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,13,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,13,BoostN,6.0,6.0,0,0,0,0,0,0.4166666666666667,0,0,0,
black,15,Ochiai,3.5,5.0,0,0,0,1,1,0.5714285714285714,0,0,0,
black,15,SBIR,1.0,5.5,1,1,1,1,1,0.5714285714285714,0,0,0,
black,15,BoostN,6.0,10.25,0,0,0,0,0,1.0,0,0,0,
black,16,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
black,16,SBIR,2.0,2.0,0,1,1,1,1,0.06666666666666667,0,0,0,
black,16,BoostN,5.0,5.0,0,0,0,0,1,0.26666666666666666,0,0,0,
black,17,Ochiai,2.0,2.0,0,1,1,1,1,0.08333333333333333,0,0,0,
black,17,SBIR,2.0,2.0,0,1,1,1,1,0.08333333333333333,0,0,0,
black,17,BoostN,6.0,6.0,0,0,0,0,0,0.4166666666666667,0,0,0,
black,18,Ochiai,1.0,1.5,1,1,1,1,1,0.0,0,0,0,
black,18,SBIR,1.0,1.5,1,1,1,1,1,0.0,0,0,0,
black,18,BoostN,1.5,5.0,0,1,1,1,1,0.5,0,0,0,
black,19,Ochiai,2.0,2.0,0,1,1,1,1,0.06666666666666667,0,0,0,
black,19,SBIR,6.0,6.0,0,0,0,0,0,0.3333333333333333,0,0,0,
black,19,BoostN,9.5,9.5,0,0,0,0,0,0.5666666666666667,0,0,0,
black,20,Ochiai,2.0,2.0,0,1,1,1,1,0.07692307692307693,0,0,0,
black,20,SBIR,2.0,2.0,0,1,1,1,1,0.07692307692307693,0,0,0,
black,20,BoostN,5.0,5.0,0,0,0,0,1,0.3076923076923077,0,0,0,
black,22,Ochiai,,,0,0,0,0,0,,0,0,0,
black,22,SBIR,,,0,0,0,0,0,,0,0,0,
black,22,BoostN,,,0,0,0,0,0,,0,0,0,
black,23,Ochiai,,,0,0,0,0,0,,0,0,0,
black,23,SBIR,,,0,0,0,0,0,,0,0,0,
black,23,BoostN,,,0,0,0,0,0,,0,0,0,
cookiecutter,1,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
cookiecutter,1,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
cookiecutter,1,BoostN,7.0,7.0,0,0,0,0,0,0.6666666666666666,0,0,0,
cookiecutter,2,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
cookiecutter,2,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
cookiecutter,2,BoostN,7.5,7.5,0,0,0,0,0,0.5909090909090909,0,0,0,
cookiecutter,3,Ochiai,,,0,0,0,0,0,,0,0,0,
cookiecutter,3,SBIR,,,0,0,0,0,0,,0,0,0,
cookiecutter,3,BoostN,,,0,0,0,0,0,,0,0,0,
fastapi,1,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
fastapi,1,SBIR,4.0,4.0,0,0,0,1,1,0.3,0,0,0,
fastapi,1,BoostN,3.0,3.0,0,0,1,1,1,0.2,0,0,0,
fastapi,3,Ochiai,,,0,0,0,0,0,,0,0,0,
fastapi,3,SBIR,,,0,0,0,0,0,,0,0,0,
fastapi,3,BoostN,,,0,0,0,0,0,,0,0,0,
fastapi,4,Ochiai,5.0,5.0,0,0,0,0,1,0.2857142857142857,0,0,0,
fastapi,4,SBIR,8.0,8.0,0,0,0,0,0,0.5,0,0,0,
fastapi,4,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
fastapi,6,Ochiai,4.0,4.0,0,0,0,1,1,0.23076923076923078,0,0,0,
fastapi,6,SBIR,4.0,4.0,0,0,0,1,1,0.23076923076923078,0,0,0,
fastapi,6,BoostN,3.5,3.5,0,0,0,1,1,0.19230769230769232,0,0,0,
fastapi,7,Ochiai,2.5,2.5,0,0,1,1,1,0.13636363636363635,0,0,0,
fastapi,7,SBIR,3.0,3.0,0,0,1,1,1,0.18181818181818182,0,0,0,
fastapi,7,BoostN,6.0,6.0,0,0,0,0,0,0.45454545454545453,0,0,0,
fastapi,10,Ochiai,3.0,3.0,0,0,1,1,1,0.2857142857142857,0,0,0,
fastapi,10,SBIR,5.0,5.0,0,0,0,0,1,0.5714285714285714,0,0,0,
fastapi,10,BoostN,7.0,7.0,0,0,0,0,0,0.8571428571428571,0,0,0,
fastapi,12,Ochiai,2.0,2.0,0,1,1,1,1,0.09090909090909091,0,0,0,
fastapi,12,SBIR,4.0,4.0,0,0,0,1,1,0.2727272727272727,0,0,0,
fastapi,12,BoostN,1.5,1.5,0,1,1,1,1,0.045454545454545456,0,0,0,
fastapi,14,Ochiai,,,0,0,0,0,0,,0,0,0,
fastapi,14,SBIR,,,0,0,0,0,0,,0,0,0,
fastapi,14,BoostN,,,0,0,0,0,0,,0,0,0,
fastapi,16,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
fastapi,16,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
fastapi,16,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
httpie,2,Ochiai,1.0,3.0,1,1,1,1,1,0.2727272727272727,0,0,0,
httpie,2,SBIR,1.0,2.5,1,1,1,1,1,0.18181818181818182,0,0,0,
httpie,2,BoostN,1.0,5.25,1,1,1,1,1,0.6818181818181818,0,0,0,
httpie,3,Ochiai,6.5,6.5,0,0,0,0,0,0.55,0,0,0,
httpie,3,SBIR,10.0,10.0,0,0,0,0,0,0.9,0,0,0,
httpie,3,BoostN,5.0,5.0,0,0,0,0,1,0.4,0,0,0,
httpie,4,Ochiai,4.5,4.5,0,0,0,0,1,0.25,0,0,0,
httpie,4,SBIR,8.0,8.0,0,0,0,0,0,0.5,0,0,0,
httpie,4,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
httpie,5,Ochiai,2.5,2.5,0,0,1,1,1,0.25,0,0,0,
httpie,5,SBIR,2.0,2.0,0,1,1,1,1,0.16666666666666666,0,0,0,
httpie,5,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
keras,1,Ochiai,,,0,0,0,0,0,,0,0,0,
keras,1,SBIR,,,0,0,0,0,0,,0,0,0,
keras,1,BoostN,,,0,0,0,0,0,,0,0,0,
