Project,BugId,Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
ansible,1,Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.000828
ansible,1,Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.001538
ansible,1,Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,13705,1408,741,0.001958
ansible,1,Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,13705,1408,1545,0.003566
ansible,1,Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.005086
ansible,1,Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,26258,7680,597,0.004721
ansible,1,Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,26258,5376,597,0.005772
ansible,1,Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,9956,3072,742,0.001915
ansible,1,Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,19649,3072,2595,0.007637
ansible,1,Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,27968,6528,639,0.023216
ansible,1,Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27968,6528,639,0.029346
ansible,1,Agent4LR-M2R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,26610,3840,1073,0.003098
ansible,1,Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,26610,3840,1073,0.004160
ansible,1,Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1073,0.006209
ansible,1,Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1073,0.007205
ansible,1,Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1299,0.007657
ansible,1,Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,25076,5376,2289,0.009637
ansible,1,Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25076,6400,1073,0.011033
ansible,1,Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,20154,9728,1209,0.005268
ansible,1,Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,25412,8704,2199,0.008793
ansible,1,Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25142,6528,1073,0.024770
ansible,1,Agent4LR-M2R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25142,5632,1073,0.028179
