Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M1R1-M1R1-M1R1,226,2.327434,2.459476,0.522124,0.769912,0.889381,0.902655,0.920354,0.113652,4946386,331392,179005,0.302517,0.001339
Agent4LR-M1R1-M1R1-M2R1,226,1.391593,1.537592,0.787611,0.929204,0.955752,0.973451,0.991150,0.047465,4946386,323968,178935,0.493499,0.002184
Agent4LR-M1R1-M1R1-M2R2,226,1.418142,1.541925,0.774336,0.920354,0.955752,0.982301,0.991150,0.044419,4946386,298112,234300,0.610046,0.002699
Agent4LR-M1R1-M1R1-M2R3,226,1.340708,1.457301,0.805310,0.929204,0.964602,0.986726,0.995575,0.037231,4946386,296448,368291,0.878402,0.003887
Agent4LR-M1R1-M1R1-M3R1,226,1.212389,1.342164,0.849558,0.951327,0.986726,1.000000,1.000000,0.030217,4946386,331776,179005,1.437972,0.006363
Agent4LR-M1R1-M2R1-M1R1,226,2.073009,2.207209,0.579646,0.836283,0.902655,0.924779,0.938053,0.096679,6416877,920832,188772,1.309347,0.005794
Agent4LR-M1R1-M2R1-M2R1,226,1.378319,1.511044,0.765487,0.929204,0.960177,0.986726,0.995575,0.042895,6416877,884608,188730,1.523448,0.006741
Agent4LR-M1R1-M2R2-M1R1,226,2.077434,2.233112,0.584071,0.818584,0.893805,0.929204,0.938053,0.101272,4299336,690944,281637,1.063920,0.004708
Agent4LR-M1R1-M2R3-M1R1,226,2.050885,2.179185,0.601770,0.814159,0.889381,0.920354,0.946903,0.093178,4499762,592000,700036,1.968243,0.008709
Agent4LR-M1R1-M3R1-M1R1,226,2.150442,2.280955,0.579646,0.823009,0.898230,0.924779,0.929204,0.100990,5604989,1221760,190567,4.852860,0.021473
Agent4LR-M1R1-M3R1-M3R1,226,1.205752,1.314510,0.867257,0.969027,0.986726,0.995575,0.995575,0.025151,5604989,1202048,190567,6.004456,0.026568
Agent4LR-M2R1-M1R1-M1R1,226,2.154867,2.314897,0.579646,0.778761,0.876106,0.915929,0.938053,0.106759,4720540,265472,127145,0.451379,0.001997
Agent4LR-M2R1-M1R1-M2R1,226,1.294248,1.437666,0.840708,0.933628,0.969027,0.995575,0.995575,0.038472,4720540,287744,127033,0.630256,0.002789
Agent4LR-M2R1-M2R1-M1R1,226,2.287611,2.452784,0.615044,0.814159,0.858407,0.884956,0.902655,0.118624,5571324,789632,134805,1.289630,0.005706
