Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M1R1-M1R1-M1R1,288,2.491319,2.756684,0.513889,0.760417,0.864583,0.888889,0.906250,0.138635,6056029,368896,225777,0.374851,0.001302
Agent4LR-M1R1-M1R1-M2R1,288,1.453125,1.732480,0.784722,0.916667,0.951389,0.968750,0.986111,0.065420,6056029,358144,225707,0.612232,0.002126
Agent4LR-M1R1-M1R1-M2R2,288,1.520833,1.743547,0.767361,0.906250,0.937500,0.968750,0.982639,0.059887,6056029,330624,294685,0.756379,0.002626
Agent4LR-M1R1-M1R1-M2R3,288,1.447917,1.713021,0.791667,0.913194,0.954861,0.975694,0.986111,0.061304,6056029,328960,468852,1.105087,0.003837
Agent4LR-M1R1-M1R1-M3R1,288,1.296875,1.540929,0.843750,0.937500,0.972222,0.993056,0.993056,0.047078,6056029,375168,225777,1.777468,0.006172
Agent4LR-M1R1-M2R1-M1R1,288,2.218750,2.487109,0.583333,0.815972,0.885417,0.906250,0.923611,0.118987,8461390,1293952,240234,1.710611,0.005940
Agent4LR-M1R1-M2R1-M2R1,288,1.453125,1.678516,0.774306,0.920139,0.954861,0.975694,0.986111,0.057444,8461390,1242624,240192,1.987659,0.006902
Agent4LR-M1R1-M2R2-M1R1,288,2.239583,2.529716,0.583333,0.795139,0.875000,0.909722,0.923611,0.126063,5682538,874752,359151,1.403113,0.004872
Agent4LR-M1R1-M2R3-M1R1,288,2.218750,2.453979,0.604167,0.798611,0.878472,0.902778,0.927083,0.113820,5896330,767616,910556,2.578818,0.008954
Agent4LR-M1R1-M3R1-M1R1,288,2.281250,2.523423,0.579861,0.809028,0.878472,0.909722,0.916667,0.119849,7242083,1661056,242588,6.176165,0.021445
Agent4LR-M1R1-M3R1-M3R1,288,1.246528,1.447034,0.864583,0.958333,0.979167,0.989583,0.993056,0.038544,7242083,1656832,242588,7.643667,0.026541
Agent4LR-M2R1-M1R1-M1R1,288,2.402778,2.704282,0.562500,0.753472,0.854167,0.881944,0.913194,0.138076,5780942,312320,160214,0.563618,0.001957
Agent4LR-M2R1-M1R1-M2R1,288,1.364583,1.643070,0.840278,0.930556,0.961806,0.986111,0.986111,0.061849,5780942,331904,160060,0.785762,0.002728
Agent4LR-M2R1-M2R1-M1R1,288,2.324653,2.641045,0.604167,0.812500,0.861111,0.888889,0.906250,0.132105,7432785,1036928,172345,1.711186,0.005942
Agent4LR-M2R1-M2R1-M2R1,288,1.385417,1.613267,0.829861,0.923611,0.958333,0.972222,0.989583,0.053047,7432785,1159296,172275,1.941898,0.006743
Agent4LR-M2R1-M2R1-M2R2,288,1.340278,1.575145,0.850694,0.930556,0.961806,0.979167,0.989583,0.049705,7432785,1001088,249908,2.132752,0.007405
Agent4LR-M2R1-M2R1-M2R3,288,1.348958,1.578328,0.847222,0.934028,0.968750,0.979167,0.986111,0.051127,7432785,1009792,429828,2.490639,0.008648
Agent4LR-M2R1-M2R1-M3R1,288,1.234375,1.443938,0.868056,0.954861,0.986111,0.989583,0.993056,0.038435,7432785,1097472,172345,3.192495,0.011085
Agent4LR-M2R1-M2R2-M2R1,288,1.343750,1.584766,0.833333,0.930556,0.961806,0.982639,0.989583,0.052293,5143536,834816,291339,1.680732,0.005836
Agent4LR-M2R1-M2R3-M2R1,288,1.368056,1.576085,0.833333,0.927083,0.958333,0.982639,0.989583,0.046442,5433213,899328,824531,2.805009,0.009740
Agent4LR-M2R1-M3R1-M2R1,288,1.378472,1.600680,0.840278,0.934028,0.954861,0.972222,0.986111,0.051489,6595600,1781376,177182,5.787035,0.020094
Agent4LR-M2R1-M3R1-M3R1,288,1.255208,1.481539,0.868056,0.947917,0.986111,0.986111,0.993056,0.041659,6595600,1728384,177308,6.943422,0.024109
Agent4LR-M2R2-M1R1-M1R1,288,2.807292,3.073944,0.472222,0.743056,0.822917,0.854167,0.868056,0.161132,6547854,351360,249147,0.765766,0.002659
Agent4LR-M2R2-M2R1-M2R1,288,1.385417,1.621658,0.798611,0.937500,0.961806,0.986111,0.989583,0.053371,7535493,1009920,255312,2.167274,0.007525
Agent4LR-M2R2-M2R2-M2R2,288,1.378472,1.593736,0.805556,0.937500,0.961806,0.982639,0.989583,0.050570,5195981,681984,439820,2.025185,0.007032
Agent4LR-M2R2-M3R1-M3R1,288,1.217014,1.445095,0.857639,0.975694,0.982639,0.986111,0.996528,0.039446,6086347,1523840,254256,6.655691,0.023110
Agent4LR-M2R3-M1R1-M1R1,288,2.784722,3.089048,0.534722,0.736111,0.809028,0.850694,0.864583,0.168233,5631655,399744,311693,0.853893,0.002965
Agent4LR-M2R3-M2R1-M2R1,288,1.328125,1.569430,0.829861,0.947917,0.958333,0.975694,0.993056,0.048152,7095187,968832,321680,2.199170,0.007636
Agent4LR-M2R3-M2R3-M2R3,288,1.352431,1.572627,0.843750,0.927083,0.961806,0.975694,0.989583,0.046290,5359622,642944,1378009,3.951261,0.013720
Agent4LR-M2R3-M3R1-M3R1,288,1.269097,1.493128,0.861111,0.954861,0.975694,0.986111,0.989583,0.043098,6434731,1756416,327386,7.004179,0.024320
Agent4LR-M3R1-M1R1-M1R1,288,2.836806,3.113238,0.451389,0.729167,0.802083,0.857639,0.875000,0.164912,5677270,412928,233927,2.434113,0.008452
Agent4LR-M3R1-M1R1-M3R1,288,1.406250,1.621600,0.833333,0.927083,0.958333,0.979167,0.979167,0.050902,5677270,469632,233927,3.755571,0.013040
Agent4LR-M3R1-M2R1-M2R1,288,1.340278,1.577242,0.815972,0.930556,0.975694,0.989583,0.989583,0.052540,7881860,1085824,246368,3.949818,0.013715
Agent4LR-M3R1-M2R1-M3R1,288,1.267361,1.470992,0.843750,0.947917,0.986111,0.993056,0.993056,0.042332,7881860,1253504,246396,5.066023,0.017590
Agent4LR-M3R1-M2R2-M3R1,288,1.317708,1.526114,0.840278,0.937500,0.975694,0.986111,0.989583,0.045704,5482868,943744,336268,4.507400,0.015651
Agent4LR-M3R1-M2R3-M3R1,288,1.291667,1.492839,0.840278,0.944444,0.972222,0.989583,0.993056,0.041081,5892239,892928,809883,5.540863,0.019239
Agent4LR-M3R1-M3R1-M1R1,288,2.503472,2.783492,0.541667,0.777778,0.843750,0.881944,0.902778,0.138983,6034898,1202432,243518,7.168256,0.024890
Agent4LR-M3R1-M3R1-M2R1,288,1.336806,1.556988,0.815972,0.927083,0.968750,0.989583,0.993056,0.048807,6034898,1264384,243431,7.397234,0.025685
Agent4LR-M3R1-M3R1-M2R2,288,1.340278,1.553226,0.815972,0.923611,0.972222,0.986111,0.993056,0.049193,6034898,1179136,307258,7.544065,0.026195
Agent4LR-M3R1-M3R1-M2R3,288,1.369792,1.567694,0.819444,0.927083,0.965278,0.982639,0.989583,0.048207,6035614,1189120,431818,7.791118,0.027052
Agent4LR-M3R1-M3R1-M3R1,288,1.274306,1.490379,0.843750,0.947917,0.979167,0.993056,0.993056,0.044004,6034898,1555584,243501,8.228599,0.028572
