Project,BugId,Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Lang,1,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Lang,1,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Lang,1,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,1,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,1,SBIR,2.0,2.0,0,1,1,1,1,0.05263157894736842,0,0,0,
Chart,1,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,2,Ochiai,,,0,0,0,0,0,,0,0,0,
Chart,2,SBIR,,,0,0,0,0,0,,0,0,0,
Chart,2,BoostN,,,0,0,0,0,0,,0,0,0,
Chart,3,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,3,SBIR,9.5,9.5,0,0,0,0,0,0.5,0,0,0,
Chart,3,BoostN,9.5,9.5,0,0,0,0,0,0.5,0,0,0,
Chart,4,Ochiai,1.5,1.5,0,1,1,1,1,0.027777777777777776,0,0,0,
Chart,4,SBIR,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,4,BoostN,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,5,Ochiai,1.5,1.5,0,1,1,1,1,0.029411764705882353,0,0,0,
Chart,5,SBIR,10.0,10.0,0,0,0,0,0,0.5294117647058824,0,0,0,
Chart,5,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,6,Ochiai,14.0,14.0,0,0,0,0,0,0.8666666666666667,0,0,0,
Chart,6,SBIR,8.5,8.5,0,0,0,0,0,0.5,0,0,0,
Chart,6,BoostN,8.5,8.5,0,0,0,0,0,0.5,0,0,0,
Chart,7,Ochiai,2.0,2.0,0,1,1,1,1,0.0625,0,0,0,
Chart,7,SBIR,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,7,BoostN,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,8,Ochiai,1.5,1.5,0,1,1,1,1,0.027777777777777776,0,0,0,
Chart,8,SBIR,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,8,BoostN,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,9,Ochiai,1.5,1.5,0,1,1,1,1,0.029411764705882353,0,0,0,
Chart,9,SBIR,2.0,2.0,0,1,1,1,1,0.058823529411764705,0,0,0,
Chart,9,BoostN,3.0,3.0,0,0,1,1,1,0.11764705882352941,0,0,0,
Chart,10,Ochiai,1.5,1.5,0,1,1,1,1,0.25,0,0,0,
Chart,10,SBIR,2.0,2.0,0,1,1,1,1,0.5,0,0,0,
Chart,10,BoostN,2.0,2.0,0,1,1,1,1,0.5,0,0,0,
Chart,11,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,11,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,11,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,12,Ochiai,6.0,6.0,0,0,0,0,0,0.29411764705882354,0,0,0,
Chart,12,SBIR,5.0,5.0,0,0,0,0,1,0.23529411764705882,0,0,0,
Chart,12,BoostN,3.0,3.0,0,0,1,1,1,0.11764705882352941,0,0,0,
Chart,13,Ochiai,4.0,4.0,0,0,0,1,1,0.1875,0,0,0,
Chart,13,SBIR,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,13,BoostN,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,14,Ochiai,8.0,8.0,0,0,0,0,0,0.4166666666666667,0,0,0,
Chart,14,SBIR,8.0,8.0,0,0,0,0,0,0.4166666666666667,0,0,0,
Chart,14,BoostN,8.0,8.0,0,0,0,0,0,0.4166666666666667,0,0,0,
Chart,15,Ochiai,10.5,10.5,0,0,0,0,0,0.5277777777777778,0,0,0,
Chart,15,SBIR,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,15,BoostN,10.0,10.0,0,0,0,0,0,0.5,0,0,0,
Chart,16,Ochiai,1.0,5.0,1,1,1,1,1,0.4117647058823529,0,0,0,
Chart,16,SBIR,1.0,4.0,1,1,1,1,1,0.29411764705882354,0,0,0,
Chart,16,BoostN,2.0,4.5,0,1,1,1,1,0.29411764705882354,0,0,0,
Chart,17,Ochiai,2.0,2.0,0,1,1,1,1,0.0625,0,0,0,
Chart,17,SBIR,7.0,7.0,0,0,0,0,0,0.375,0,0,0,
Chart,17,BoostN,12.0,12.0,0,0,0,0,0,0.6875,0,0,0,
Chart,18,Ochiai,1.5,2.0,0,1,1,1,1,0.0,0,0,0,
Chart,18,SBIR,9.0,9.0,0,0,0,0,0,0.42857142857142855,0,0,0,
Chart,18,BoostN,9.0,9.0,0,0,0,0,0,0.42857142857142855,0,0,0,
Chart,19,Ochiai,1.5,1.5,0,1,1,1,1,-0.03125,0,0,0,
Chart,19,SBIR,9.5,9.5,0,0,0,0,0,0.46875,0,0,0,
Chart,19,BoostN,9.5,9.5,0,0,0,0,0,0.46875,0,0,0,
Chart,20,Ochiai,5.0,5.0,0,0,0,0,1,0.25,0,0,0,
Chart,20,SBIR,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,20,BoostN,9.0,9.0,0,0,0,0,0,0.5,0,0,0,
Chart,21,Ochiai,2.0,3.5,0,1,1,1,1,0.17647058823529413,0,0,0,
Chart,21,SBIR,10.0,10.0,0,0,0,0,0,0.47058823529411764,0,0,0,
Chart,21,BoostN,10.0,10.0,0,0,0,0,0,0.47058823529411764,0,0,0,
Chart,22,Ochiai,3.0,9.666666666666666,0,0,1,1,1,0.6666666666666666,0,0,0,
Chart,22,SBIR,9.5,9.5,0,0,0,0,0,0.43333333333333335,0,0,0,
Chart,22,BoostN,9.5,9.5,0,0,0,0,0,0.43333333333333335,0,0,0,
Chart,23,Ochiai,,,0,0,0,0,0,,0,0,0,
Chart,23,SBIR,,,0,0,0,0,0,,0,0,0,
Chart,23,BoostN,,,0,0,0,0,0,,0,0,0,
Chart,24,Ochiai,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Chart,24,SBIR,5.0,5.0,0,0,0,0,1,0.5,0,0,0,
Chart,24,BoostN,5.0,5.0,0,0,0,0,1,0.5,0,0,0,
Chart,25,Ochiai,,,0,0,0,0,0,,0,0,0,
Chart,25,SBIR,,,0,0,0,0,0,,0,0,0,
Chart,25,BoostN,,,0,0,0,0,0,,0,0,0,
Chart,26,Ochiai,,,0,0,0,0,0,,0,0,0,
Chart,26,SBIR,,,0,0,0,0,0,,0,0,0,
Chart,26,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,1,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,1,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,1,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,2,Ochiai,4.5,4.5,0,0,0,0,1,0.21875,0,0,0,
Cli,2,SBIR,7.0,7.0,0,0,0,0,0,0.375,0,0,0,
Cli,2,BoostN,11.5,11.5,0,0,0,0,0,0.65625,0,0,0,
Cli,3,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,3,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,3,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,4,Ochiai,2.0,2.0,0,1,1,1,1,0.05263157894736842,0,0,0,
Cli,4,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,4,BoostN,15.0,15.0,0,0,0,0,0,0.7368421052631579,0,0,0,
Cli,5,Ochiai,8.0,8.0,0,0,0,0,0,0.4117647058823529,0,0,0,
Cli,5,SBIR,13.0,13.0,0,0,0,0,0,0.7058823529411765,0,0,0,
Cli,5,BoostN,9.0,9.0,0,0,0,0,0,0.47058823529411764,0,0,0,
Cli,7,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,7,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,7,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,8,Ochiai,8.0,8.0,0,0,0,0,0,0.5,0,0,0,
Cli,8,SBIR,10.0,10.0,0,0,0,0,0,0.6428571428571429,0,0,0,
Cli,8,BoostN,2.0,2.0,0,1,1,1,1,0.07142857142857142,0,0,0,
Cli,9,Ochiai,2.5,2.5,0,0,1,1,1,0.08823529411764706,0,0,0,
Cli,9,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,9,BoostN,2.0,2.0,0,1,1,1,1,0.058823529411764705,0,0,0,
Cli,10,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,10,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,10,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,11,Ochiai,4.5,4.5,0,0,0,0,1,0.19444444444444445,0,0,0,
Cli,11,SBIR,4.0,4.0,0,0,0,1,1,0.16666666666666666,0,0,0,
Cli,11,BoostN,15.0,15.0,0,0,0,0,0,0.7777777777777778,0,0,0,
Cli,12,Ochiai,3.0,3.0,0,0,1,1,1,0.125,0,0,0,
Cli,12,SBIR,3.0,3.0,0,0,1,1,1,0.125,0,0,0,
Cli,12,BoostN,7.0,7.0,0,0,0,0,0,0.375,0,0,0,
Cli,13,Ochiai,11.0,11.0,0,0,0,0,0,0.5555555555555556,0,0,0,
Cli,13,SBIR,11.0,11.0,0,0,0,0,0,0.5555555555555556,0,0,0,
Cli,13,BoostN,4.0,4.0,0,0,0,1,1,0.16666666666666666,0,0,0,
Cli,14,Ochiai,9.5,9.5,0,0,0,0,0,0.5,0,0,0,
Cli,14,SBIR,10.0,10.0,0,0,0,0,0,0.5294117647058824,0,0,0,
Cli,14,BoostN,8.0,8.0,0,0,0,0,0,0.4117647058823529,0,0,0,
Cli,15,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,15,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,15,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,16,Ochiai,14.0,14.5,0,0,0,0,0,0.8125,0,0,0,
Cli,16,SBIR,14.0,14.5,0,0,0,0,0,0.8125,0,0,0,
Cli,16,BoostN,3.0,6.75,0,0,1,1,1,0.53125,0,0,0,
Cli,17,Ochiai,1.5,1.5,0,1,1,1,1,0.03125,0,0,0,
Cli,17,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,17,BoostN,2.0,2.0,0,1,1,1,1,0.0625,0,0,0,
Cli,18,Ochiai,1.5,8.5,0,1,1,1,1,0.6875,0,0,0,
Cli,18,SBIR,1.0,5.333333333333333,1,1,1,1,1,0.5625,0,0,0,
Cli,18,BoostN,2.0,7.666666666666667,0,1,1,1,1,0.59375,0,0,0,
Cli,19,Ochiai,2.0,2.0,0,1,1,1,1,0.0625,0,0,0,
Cli,19,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,19,BoostN,8.5,8.5,0,0,0,0,0,0.46875,0,0,0,
Cli,20,Ochiai,2.0,2.0,0,1,1,1,1,0.0625,0,0,0,
Cli,20,SBIR,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,20,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,21,Ochiai,,,0,0,0,0,0,,0,0,0,
Cli,21,SBIR,,,0,0,0,0,0,,0,0,0,
Cli,21,BoostN,,,0,0,0,0,0,,0,0,0,
Cli,22,Ochiai,3.0,9.125,0,0,1,1,1,0.8571428571428571,0,0,0,
Cli,22,SBIR,5.0,11.25,0,0,0,0,1,0.9285714285714286,0,0,0,
Cli,22,BoostN,5.0,9.5,0,0,0,0,1,0.5357142857142857,0,0,0,
Cli,23,Ochiai,5.5,5.5,0,0,0,0,0,0.23684210526315788,0,0,0,
Cli,23,SBIR,8.0,8.0,0,0,0,0,0,0.3684210526315789,0,0,0,
Cli,23,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,24,Ochiai,2.5,2.5,0,0,1,1,1,0.09375,0,0,0,
Cli,24,SBIR,6.0,6.0,0,0,0,0,0,0.3125,0,0,0,
Cli,24,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,25,Ochiai,2.5,2.5,0,0,1,1,1,0.09375,0,0,0,
Cli,25,SBIR,6.0,6.0,0,0,0,0,0,0.3125,0,0,0,
Cli,25,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,26,Ochiai,8.0,8.0,0,0,0,0,0,0.4666666666666667,0,0,0,
Cli,26,SBIR,3.0,3.0,0,0,1,1,1,0.13333333333333333,0,0,0,
Cli,26,BoostN,1.0,1.0,1,1,1,1,1,0.0,0,0,0,
Cli,27,Ochiai,8.5,8.5,0,0,0,0,0,0.4411764705882353,0,0,0,
