Project,BugId,Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Lang,1,Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,46192,27520,829,0.001279
Lang,1,Agent4LR-M1R1-M1R1-M1R2,1.0,1.0,1,1,1,1,1,0.0,46192,34560,1271,0.001107
Lang,1,Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,45704,25856,778,0.002549
Lang,1,Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,45704,25856,1130,0.003253
Lang,1,Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,45704,25856,2160,0.005313
Lang,1,Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,45704,25856,778,0.008710
Lang,1,Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,29116,17792,619,0.002703
Lang,1,Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,29116,17792,619,0.003703
Lang,1,Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,14010,7168,1170,0.003231
Lang,1,Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,14010,7296,2449,0.005783
Lang,1,Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,20552,14848,653,0.009330
Lang,1,Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20552,12032,653,0.013818
Lang,1,Agent4LR-M1R1-Q2R0-Q2R1,1.0,1.0,1,1,1,1,1,0.0,867,0,445,0.000221
Lang,1,Agent4LR-M2R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,12650,2432,295,0.001006
Lang,1,Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,12650,2432,295,0.001634
Lang,1,Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,17016,5632,303,0.002803
Lang,1,Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,17016,5632,303,0.003593
Lang,1,Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,17016,5632,441,0.003869
Lang,1,Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,17016,5632,1382,0.005751
Lang,1,Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,17016,5632,303,0.007544
Lang,1,Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,16994,7296,906,0.004419
Lang,1,Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,15950,6016,2342,0.007318
Lang,1,Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,16994,9984,345,0.010050
Lang,1,Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,16994,7296,345,0.014606
Lang,1,Agent4LR-M2R2-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,13029,0,435,0.001425
Lang,1,Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,13029,0,615,0.002428
