Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M1R1-M1R1-M1R1,560,3.317857,3.620982,0.475000,0.678571,0.764286,0.825000,0.853571,0.166146,9560507,3342208,478226,0.503871,0.000900
Agent4LR-M1R1-M1R1-M1R2,4,1.250000,1.250000,0.750000,1.000000,1.000000,1.000000,1.000000,0.014706,98109,60544,3586,0.003344,0.000836
Agent4LR-M1R1-M1R1-M1R3,1,2.000000,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.052632,9995,3584,1789,0.001038,0.001038
Agent4LR-M1R1-M1R1-M2R1,560,2.111607,2.371131,0.662500,0.837500,0.889286,0.923214,0.942857,0.088072,9472593,3280128,478553,0.879991,0.001571
Agent4LR-M1R1-M1R1-M2R2,560,2.060714,2.290476,0.685714,0.835714,0.889286,0.932143,0.944643,0.083753,9472593,3280128,601518,1.125922,0.002011
Agent4LR-M1R1-M1R1-M2R3,560,1.983929,2.175298,0.701786,0.839286,0.898214,0.932143,0.951786,0.075818,9472593,3282560,908204,1.738745,0.003105
Agent4LR-M1R1-M1R1-M3R1,560,1.826786,2.033036,0.760714,0.871429,0.912500,0.941071,0.957143,0.065478,9472593,3281280,478777,2.767470,0.004942
Agent4LR-M1R1-M1R1-M3R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9995,3584,1490,0.008289,0.008289
Agent4LR-M1R1-M1R1-M3R3,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9995,3584,2920,0.022589,0.022589
Agent4LR-M1R1-M1R2-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9633,1920,1519,0.000994,0.000994
Agent4LR-M1R1-M1R3-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,22981,13312,8821,0.004019,0.004019
Agent4LR-M1R1-M2R1-M1R1,560,2.933929,3.187649,0.521429,0.692857,0.796429,0.848214,0.889286,0.138227,17340007,4833920,528267,3.136287,0.005601
Agent4LR-M1R1-M2R1-M2R1,560,1.975000,2.168155,0.678571,0.851786,0.907143,0.933929,0.951786,0.073587,17338457,4742144,527900,3.628069,0.006479
Agent4LR-M1R1-M2R2-M1R1,560,2.816964,3.062351,0.533929,0.712500,0.800000,0.853571,0.900000,0.131032,12244313,6752896,744881,2.090446,0.003733
Agent4LR-M1R1-M2R3-M1R1,560,2.919643,3.182589,0.532143,0.707143,0.810714,0.855357,0.885714,0.137470,12077125,6646400,1894371,4.387891,0.007836
Agent4LR-M1R1-M3R1-M1R1,560,2.888393,3.129911,0.528571,0.707143,0.801786,0.853571,0.892857,0.135136,12956869,8247168,525787,6.453791,0.011525
Agent4LR-M1R1-M3R1-M3R1,560,1.664286,1.824107,0.780357,0.889286,0.932143,0.957143,0.969643,0.051001,12956869,7226624,525787,9.148994,0.016337
Agent4LR-M1R1-M3R2-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9635,6144,1988,0.014224,0.014224
Agent4LR-M1R1-M3R3-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,7243,3840,2378,0.017561,0.017561
Agent4LR-M1R1-Q2R0-Q2R1,4,1.250000,1.250000,0.750000,1.000000,1.000000,1.000000,1.000000,0.014706,3311,0,1416,0.000732,0.000183
Agent4LR-M1R2-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,38844,21760,1230,0.001357,0.001357
Agent4LR-M1R2-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,30223,20480,1188,0.003811,0.003811
Agent4LR-M1R3-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,6529,0,2433,0.001300,0.001300
Agent4LR-M1R3-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,24586,15616,2607,0.003956,0.003956
Agent4LR-M2R1-M1R1-M1R1,560,3.293750,3.572173,0.491071,0.666071,0.751786,0.816071,0.858929,0.160471,8819565,3021056,356946,0.938320,0.001676
Agent4LR-M2R1-M1R1-M2R1,560,2.024107,2.235268,0.691071,0.821429,0.900000,0.919643,0.951786,0.079182,8829561,3253632,356615,1.241575,0.002217
Agent4LR-M2R1-M1R2-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9906,1280,1546,0.002484,0.002484
Agent4LR-M2R1-M1R3-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,17107,6528,8000,0.005256,0.005256
Agent4LR-M2R1-M2R1-M1R1,560,3.164286,3.406696,0.523214,0.687500,0.785714,0.835714,0.862500,0.149865,14551563,3658368,398782,3.174983,0.005670
Agent4LR-M2R1-M2R1-M1R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,11264,1559,0.004318,0.004318
Agent4LR-M2R1-M2R1-M1R3,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,9728,3498,0.005170,0.005170
Agent4LR-M2R1-M2R1-M2R1,560,2.033929,2.225149,0.705357,0.828571,0.891071,0.928571,0.946429,0.076104,14580137,3760768,398031,3.594923,0.006420
Agent4LR-M2R1-M2R1-M2R2,560,1.824107,2.009524,0.760714,0.864286,0.912500,0.944643,0.958929,0.064099,14551563,3666560,544061,3.901036,0.006966
Agent4LR-M2R1-M2R1-M2R3,560,1.816964,1.967857,0.780357,0.869643,0.908929,0.937500,0.957143,0.059655,14551563,3665152,899014,4.611255,0.008234
Agent4LR-M2R1-M2R1-M3R1,560,1.738393,1.907292,0.810714,0.885714,0.925000,0.948214,0.958929,0.056226,14551563,3784448,398726,5.655971,0.010100
Agent4LR-M2R1-M2R1-M3R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,9728,1200,0.012564,0.012564
Agent4LR-M2R1-M2R2-M2R1,560,1.972321,2.144792,0.705357,0.848214,0.901786,0.933929,0.950000,0.071710,11276155,4370176,631403,3.098558,0.005533
Agent4LR-M2R1-M2R3-M2R1,560,1.940179,2.123214,0.703571,0.837500,0.907143,0.939286,0.955357,0.070887,11185925,4384512,1823176,5.456313,0.009743
Agent4LR-M2R1-M3R1-M2R1,560,1.900000,2.072619,0.707143,0.839286,0.901786,0.932143,0.962500,0.066890,11493683,6172544,400668,7.582014,0.013539
Agent4LR-M2R1-M3R1-M3R1,560,1.690179,1.854018,0.800000,0.892857,0.926786,0.948214,0.966071,0.052857,11497076,5599744,401020,9.561306,0.017074
Agent4LR-M2R1-M3R2-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,22372,12672,2396,0.031357,0.031357
Agent4LR-M2R2-M1R1-M1R1,560,3.416964,3.685417,0.471429,0.673214,0.766071,0.807143,0.841071,0.167811,9372063,2562304,461419,1.191074,0.002127
Agent4LR-M2R2-M1R1-M2R2,560,1.923214,2.117857,0.750000,0.841071,0.894643,0.932143,0.953571,0.071146,9372063,2424064,588671,1.824557,0.003258
Agent4LR-M2R2-M1R1-M2R3,560,1.987500,2.159970,0.746429,0.844643,0.891071,0.928571,0.946429,0.071825,9372573,2424064,889930,2.427202,0.004334
Agent4LR-M2R2-M1R1-M3R1,560,1.802679,1.947024,0.766071,0.878571,0.908929,0.935714,0.960714,0.057677,9372063,2425216,461433,3.429563,0.006124
Agent4LR-M2R2-M2R1-M2R1,560,1.886607,2.054762,0.710714,0.853571,0.903571,0.942857,0.958929,0.065324,14858648,3556736,500520,3.915444,0.006992
Agent4LR-M2R2-M2R2-M2R2,560,1.879464,2.048661,0.767857,0.862500,0.907143,0.935714,0.951786,0.066171,10601662,3348608,851924,3.600827,0.006430
Agent4LR-M2R2-M2R2-M2R3,560,1.779464,1.949851,0.791071,0.875000,0.916071,0.948214,0.957143,0.059098,10571003,3590784,1179616,4.194062,0.007489
Agent4LR-M2R2-M2R2-M3R1,560,1.683929,1.823214,0.796429,0.882143,0.932143,0.953571,0.966071,0.050326,10571003,3945984,706347,4.524285,0.008079
Agent4LR-M2R2-M3R1-M3R1,560,1.632143,1.767411,0.803571,0.885714,0.932143,0.951786,0.971429,0.047361,10755590,5813888,497984,8.560006,0.015286
Agent4LR-M2R3-M1R1-M1R1,560,3.354464,3.618750,0.478571,0.687500,0.771429,0.823214,0.844643,0.163365,9750092,4285056,604622,1.401779,0.002503
Agent4LR-M2R3-M2R1-M2R1,560,1.933929,2.096280,0.700000,0.862500,0.908929,0.935714,0.953571,0.068047,14105774,3117056,640192,4.105489,0.007331
Agent4LR-M2R3-M2R3-M2R3,559,1.686941,1.841383,0.792487,0.894454,0.933810,0.951699,0.964222,0.052434,10408060,2948608,2775405,7.489387,0.013398
