Method,Bugs,MFR,MAR,Top1Rate,Top2Rate,Top3Rate,Top4Rate,Top5Rate,MeanWE,TotalInputTokens,TotalCachedTokens,TotalOutputTokens,TotalCostUSD,MeanCostUSD
Agent4LR-M1R1-M1R1-M1R1,616,3.306818,3.963190,0.477273,0.685065,0.766234,0.823052,0.853896,0.197797,10406199,3622784,526607,0.551620,0.000895
Agent4LR-M1R1-M1R1-M1R2,4,1.000000,1.125000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,98109,60544,3586,0.003344,0.000836
Agent4LR-M1R1-M1R1-M1R3,1,2.000000,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.052632,9995,3584,1789,0.001038,0.001038
Agent4LR-M1R1-M1R1-M2R1,616,2.059253,2.631142,0.665584,0.840909,0.891234,0.926948,0.948052,0.115930,10318285,3560704,526934,0.959445,0.001558
Agent4LR-M1R1-M1R1-M2R2,616,2.073052,2.603950,0.689935,0.831169,0.887987,0.931818,0.943182,0.113843,10318285,3560704,662622,1.230822,0.001998
Agent4LR-M1R1-M1R1-M2R3,616,1.963474,2.451015,0.704545,0.840909,0.902597,0.933442,0.952922,0.103393,10318285,3563136,997049,1.899126,0.003083
Agent4LR-M1R1-M1R1-M3R1,616,1.805195,2.321929,0.758117,0.873377,0.915584,0.943182,0.959416,0.094296,10318285,3561856,527158,3.005446,0.004879
Agent4LR-M1R1-M1R1-M3R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9995,3584,1490,0.008289,0.008289
Agent4LR-M1R1-M1R1-M3R3,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9995,3584,2920,0.022589,0.022589
Agent4LR-M1R1-M1R2-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9633,1920,1519,0.000994,0.000994
Agent4LR-M1R1-M1R3-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,22981,13312,8821,0.004019,0.004019
Agent4LR-M1R1-M2R1-M1R1,616,2.963474,3.526123,0.525974,0.696429,0.795455,0.847403,0.884740,0.169292,18777584,5182208,580980,3.415135,0.005544
Agent4LR-M1R1-M2R1-M2R1,616,1.962662,2.410295,0.681818,0.852273,0.907468,0.933442,0.952922,0.097810,18776034,5090944,580571,3.947197,0.006408
Agent4LR-M1R1-M2R2-M1R1,616,2.870130,3.408834,0.538961,0.714286,0.797078,0.849026,0.892857,0.160941,13282193,7277568,817792,2.289299,0.003716
Agent4LR-M1R1-M2R3-M1R1,616,2.964286,3.528626,0.535714,0.706169,0.800325,0.847403,0.881494,0.169337,13146158,7175296,2087722,4.834829,0.007849
Agent4LR-M1R1-M3R1-M1R1,616,2.931006,3.462135,0.530844,0.702922,0.797078,0.852273,0.887987,0.163325,14086521,8965760,578983,7.052526,0.011449
Agent4LR-M1R1-M3R1-M3R1,616,1.689935,2.097849,0.775974,0.886364,0.928571,0.956169,0.967532,0.075576,14086521,7865984,578983,9.970985,0.016187
Agent4LR-M1R1-M3R2-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9635,6144,1988,0.014224,0.014224
Agent4LR-M1R1-M3R3-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,7243,3840,2378,0.017561,0.017561
Agent4LR-M1R1-Q2R0-Q2R1,4,1.000000,1.125000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3311,0,1416,0.000732,0.000183
Agent4LR-M1R2-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,38844,21760,1230,0.001357,0.001357
Agent4LR-M1R2-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,30223,20480,1188,0.003811,0.003811
Agent4LR-M1R3-M1R1-M1R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,6529,0,2433,0.001300,0.001300
Agent4LR-M1R3-M2R1-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,24586,15616,2607,0.003956,0.003956
Agent4LR-M2R1-M1R1-M1R1,616,3.306006,3.849702,0.498377,0.670455,0.753247,0.813312,0.855519,0.186056,9609111,3274752,393832,1.027935,0.001669
Agent4LR-M2R1-M1R1-M2R1,616,1.974838,2.484564,0.696429,0.824675,0.902597,0.922078,0.956169,0.105157,9619107,3523968,393473,1.357552,0.002204
Agent4LR-M2R1-M1R2-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9906,1280,1546,0.002484,0.002484
Agent4LR-M2R1-M1R3-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,17107,6528,8000,0.005256,0.005256
Agent4LR-M2R1-M2R1-M1R1,616,3.058442,3.566288,0.535714,0.701299,0.792208,0.842532,0.871753,0.168306,15842320,3984256,439342,3.467386,0.005629
Agent4LR-M2R1-M2R1-M1R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,11264,1559,0.004318,0.004318
Agent4LR-M2R1-M2R1-M1R3,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,9728,3498,0.005170,0.005170
Agent4LR-M2R1-M2R1-M2R1,616,1.964286,2.426448,0.704545,0.834416,0.897727,0.936688,0.952922,0.098370,15870894,4086656,438591,3.925405,0.006372
Agent4LR-M2R1-M2R1-M2R2,616,1.808442,2.290368,0.766234,0.862013,0.915584,0.946429,0.959416,0.091369,15842320,3992448,597973,4.258223,0.006913
Agent4LR-M2R1-M2R1-M2R3,616,1.800325,2.251299,0.784091,0.870130,0.912338,0.939935,0.957792,0.088131,15842320,3992704,985424,5.033063,0.008171
Agent4LR-M2R1-M2R1-M3R1,616,1.730519,2.144521,0.803571,0.881494,0.923701,0.951299,0.961039,0.079417,15842320,4117248,439286,6.169074,0.010015
Agent4LR-M2R1-M2R1-M3R2,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,21701,9728,1200,0.012564,0.012564
Agent4LR-M2R1-M2R2-M2R1,616,1.872565,2.322524,0.709416,0.852273,0.912338,0.943182,0.959416,0.093868,12273185,4759552,700656,3.398712,0.005517
Agent4LR-M2R1-M2R3-M2R1,616,1.898539,2.358266,0.701299,0.839286,0.912338,0.943182,0.959416,0.096590,12178229,4743424,2006312,5.989907,0.009724
Agent4LR-M2R1-M3R1-M2R1,616,1.833604,2.283915,0.709416,0.840909,0.905844,0.936688,0.969156,0.089996,12463304,6664448,440888,8.287252,0.013453
Agent4LR-M2R1-M3R1-M3R1,616,1.675325,2.096429,0.800325,0.891234,0.925325,0.951299,0.967532,0.075489,12466697,6044288,441282,10.436113,0.016942
Agent4LR-M2R1-M3R2-M2R1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,22372,12672,2396,0.031357,0.031357
Agent4LR-M2R2-M1R1-M1R1,616,3.560877,4.118723,0.469156,0.663961,0.750000,0.788961,0.827922,0.203627,10045351,2710784,508888,1.303970,0.002117
Agent4LR-M2R2-M1R1-M2R2,616,1.908279,2.376258,0.751623,0.844156,0.896104,0.931818,0.954545,0.097070,10045351,2569216,647734,1.988838,0.003229
Agent4LR-M2R2-M1R1-M2R3,616,1.951299,2.429830,0.754870,0.852273,0.897727,0.930195,0.948052,0.100130,10045861,2569216,978872,2.651241,0.004304
Agent4LR-M2R2-M1R1-M3R1,616,1.810877,2.198634,0.761364,0.879870,0.910714,0.936688,0.959416,0.081745,10045351,2570368,508916,3.710941,0.006024
Agent4LR-M2R2-M2R1-M2R1,616,1.853084,2.309294,0.715909,0.858766,0.909091,0.944805,0.961039,0.093128,16166923,3858304,553700,4.281023,0.006950
Agent4LR-M2R2-M2R2-M2R2,616,1.836851,2.302881,0.774351,0.870130,0.910714,0.938312,0.954545,0.093496,11608638,3663104,945080,3.968124,0.006442
Agent4LR-M2R2-M2R2-M2R3,616,1.793019,2.269602,0.787338,0.875000,0.915584,0.946429,0.956169,0.089865,11577979,3913600,1303479,4.620899,0.007501
Agent4LR-M2R2-M2R2-M3R1,616,1.708604,2.123634,0.795455,0.878247,0.928571,0.951299,0.964286,0.079839,11577979,4304128,785231,4.980671,0.008086
Agent4LR-M2R2-M3R1-M3R1,616,1.637175,2.028653,0.803571,0.886364,0.930195,0.952922,0.970779,0.072663,11729988,6312960,550933,9.408058,0.015273
Agent4LR-M2R3-M1R1-M1R1,616,3.432630,3.978017,0.482143,0.681818,0.762987,0.818182,0.836039,0.193310,10550213,4597632,668490,1.543721,0.002506
Agent4LR-M2R3-M2R1-M2R1,616,1.870130,2.300230,0.707792,0.863636,0.912338,0.941558,0.959416,0.091759,15376786,3348608,708537,4.507830,0.007318
Agent4LR-M2R3-M2R3-M2R3,615,1.671545,2.107046,0.800000,0.889431,0.931707,0.952846,0.965854,0.080618,11355874,3182464,3067312,8.257535,0.013427
Agent4LR-M2R3-M3R1-M3R1,616,1.620942,2.007616,0.805195,0.886364,0.930195,0.956169,0.972403,0.070439,11299988,5993984,704780,9.547568,0.015499
Agent4LR-M2R4-M2R4-M2R4,9,1.000000,1.611111,1.000000,1.000000,1.000000,1.000000,1.000000,0.084554,184828,68992,129317,0.289316,0.032146
Agent4LR-M3R1-M1R1-M1R1,616,3.538961,4.095671,0.454545,0.657468,0.737013,0.790584,0.837662,0.203446,10440838,4840576,526670,5.047148,0.008193
Agent4LR-M3R1-M1R1-M3R1,616,1.792208,2.221767,0.772727,0.866883,0.920455,0.944805,0.959416,0.085750,10440838,4846592,526670,7.326825,0.011894
Agent4LR-M3R1-M2R1-M2R1,616,1.843344,2.236323,0.740260,0.873377,0.923701,0.949675,0.954545,0.085648,17608269,4252032,571637,8.383058,0.013609
Agent4LR-M3R1-M2R1-M3R1,616,1.663149,2.031291,0.785714,0.884740,0.936688,0.954545,0.969156,0.069446,17607090,5149696,571812,9.960496,0.016170
Agent4LR-M3R1-M2R2-M3R1,616,1.633117,2.026691,0.797078,0.886364,0.938312,0.956169,0.970779,0.071894,12324466,6790272,757917,7.967672,0.012935
Agent4LR-M3R1-M2R3-M3R1,616,1.625812,2.026826,0.798701,0.892857,0.938312,0.957792,0.970779,0.072325,12622085,7067264,1909483,10.204183,0.016565
Agent4LR-M3R1-M3R1-M1R1,616,3.105519,3.627719,0.493506,0.683442,0.775974,0.837662,0.876623,0.170134,11972934,5998592,554687,11.760706,0.019092
Agent4LR-M3R1-M3R1-M2R1,616,1.727273,2.152246,0.740260,0.865260,0.925325,0.949675,0.970779,0.080579,11972934,5364480,554589,12.239548,0.019869
Agent4LR-M3R1-M3R1-M2R2,616,1.800325,2.211905,0.761364,0.866883,0.922078,0.948052,0.959416,0.083361,11972934,5364480,686981,12.504333,0.020299
Agent4LR-M3R1-M3R1-M2R3,616,1.708604,2.123701,0.779221,0.881494,0.930195,0.951299,0.965909,0.078505,11972934,5364480,946462,13.023293,0.021142
