path,line,signature
pysnooper/tracer.py,4,
pysnooper/tracer.py,22,"pysnooper.tracer$get_local_reprs(frame,watch)"
pysnooper/tracer.py,26,"pysnooper.tracer$get_local_reprs(frame,watch)"
pysnooper/tracer.py,87,pysnooper.tracer$get_source_from_frame(frame)
pysnooper/tracer.py,133,"pysnooper.tracer$FileWriter.write(self,s)"
pysnooper/tracer.py,139,
pysnooper/tracer.py,176,
pysnooper/tracer.py,186,"pysnooper.tracer$Tracer.__init__(self,output,watch,watch_explode,depth,prefix,overwrite,thread_info)"
pysnooper/tracer.py,205,"pysnooper.tracer$Tracer.__init__(self,output,watch,watch_explode,depth,prefix,overwrite,thread_info)"
pysnooper/tracer.py,250,pysnooper.tracer$Tracer.__enter__(self)
pysnooper/tracer.py,270,
pysnooper/tracer.py,310,"pysnooper.tracer$Tracer.trace(self,frame,event,arg)"
pysnooper/tracer.py,383,"pysnooper.tracer$Tracer.trace(self,frame,event,arg)"
