corpus_id;path;startLine;endLine
pysnooper.pycompat$PathLike.__fspath__(self);pysnooper/pycompat.py;25;28
pysnooper.pysnooper$get_write_function(output);pysnooper/pysnooper.py;19;33
pysnooper.pysnooper$snoop(output,variables,depth,prefix);pysnooper/pysnooper.py;37;74
pysnooper.tracer$get_shortish_repr(item);pysnooper/tracer.py;12;16
pysnooper.tracer$get_local_reprs(frame,variables);pysnooper/tracer.py;18;39
pysnooper.tracer$get_source_from_frame(frame);pysnooper/tracer.py;44;96
pysnooper.tracer$Tracer.__init__(self,target_code_object,write,variables,depth,prefix);pysnooper/tracer.py;99;108
pysnooper.tracer$Tracer.write(self,s);pysnooper/tracer.py;110;114
pysnooper.tracer$Tracer.__enter__(self);pysnooper/tracer.py;116;118
pysnooper.utils$WritableStream.write(self,s);pysnooper/utils.py;23;25
pysnooper.utils$WritableStream.__subclasshook__(cls,C);pysnooper/utils.py;27;31
