rank;signature;path;startLine;endLine;score
1;pysnooper.pysnooper$snoop(output,variables,depth,prefix);pysnooper/pysnooper.py;37;74;1.0
2;pysnooper.pysnooper$get_write_function(output);pysnooper/pysnooper.py;19;33;0.9117108601956095
3;pysnooper.tracer$get_source_from_frame(frame);pysnooper/tracer.py;44;96;0.8105050058941117
4;pysnooper.pycompat$PathLike.__fspath__(self);pysnooper/pycompat.py;25;28;0.4013804475730524
5;pysnooper.tracer$get_local_reprs(frame,variables);pysnooper/tracer.py;18;39;0.13134042441078042
6;pysnooper.tracer$Tracer.__enter__(self);pysnooper/tracer.py;116;118;0.0
6;pysnooper.tracer$Tracer.__init__(self,target_code_object,write,variables,depth,prefix);pysnooper/tracer.py;99;108;0.0
6;pysnooper.tracer$Tracer.write(self,s);pysnooper/tracer.py;110;114;0.0
6;pysnooper.tracer$get_shortish_repr(item);pysnooper/tracer.py;12;16;0.0
6;pysnooper.utils$WritableStream.__subclasshook__(cls,C);pysnooper/utils.py;27;31;0.0
6;pysnooper.utils$WritableStream.write(self,s);pysnooper/utils.py;23;25;0.0
