project,bug,status,n_errors,n_warnings,fauxpy_supported,fault_sigs,unreached_sigs,error_msg
PySnooper,1,fl_unreachable,0,0,true,2,2,
PySnooper,2,real_failure,4,0,true,6,6,
PySnooper,3,ok,0,0,true,1,0,
ansible,1,ok,0,0,true,1,0,
ansible,2,ok,0,0,true,4,0,
ansible,3,ok,0,0,true,1,0,
ansible,4,ok,0,0,true,1,0,
ansible,5,ok,0,0,true,1,0,
ansible,6,ok,0,0,true,3,0,
ansible,7,ok,0,0,true,1,0,
ansible,8,ok,0,0,true,1,0,
ansible,9,ok,0,0,true,2,0,
ansible,10,ok,0,0,true,1,0,
ansible,11,fl_unreachable,0,0,true,3,3,
ansible,12,real_failure,1,0,true,1,0,
ansible,13,ok,0,0,true,2,0,
ansible,14,ok,0,0,true,1,0,
ansible,15,ok,0,0,true,1,0,
ansible,16,ok,0,0,true,1,0,
ansible,17,ok,0,0,true,2,0,
ansible,18,ok,0,0,true,2,0,
black,1,ok,0,0,true,2,0,
black,2,ok,0,0,true,1,0,
black,3,ok,0,0,true,1,0,
black,4,ok,0,0,true,1,0,
black,5,ok,0,0,true,2,0,
black,6,ok,0,0,true,6,1,
black,7,ok,0,0,true,1,0,
black,8,ok,0,0,true,1,0,
black,9,ok,0,0,true,1,0,
black,10,ok,0,0,true,1,0,
black,11,ok,0,0,true,2,0,
black,12,ok,0,0,true,4,0,
black,13,ok,0,0,true,1,0,
black,14,ok,0,0,true,1,0,
black,15,ok,0,0,true,20,3,
black,16,ok,0,0,true,1,0,
black,17,ok,0,0,true,2,0,
black,18,ok,0,0,true,4,0,
black,19,ok,0,0,true,1,0,
black,20,ok,0,0,true,1,0,
black,21,ok,0,0,true,1,0,
black,22,ok,0,0,true,13,2,
black,23,ok,0,0,true,3,0,
cookiecutter,1,ok,0,0,true,1,0,
cookiecutter,2,ok,0,0,true,2,0,
cookiecutter,3,ok,0,0,true,1,0,
cookiecutter,4,ok_reduced,0,0,false,0,0,
fastapi,1,ok,0,0,true,29,28,
fastapi,2,fl_unreachable,0,0,true,1,1,
fastapi,3,ok,0,0,true,1,0,
fastapi,4,ok,0,0,true,1,0,
fastapi,5,fl_unreachable,0,0,true,1,1,
fastapi,6,ok,0,0,true,1,0,
fastapi,7,ok,0,0,true,1,0,
fastapi,8,fl_unreachable,0,0,true,2,2,
fastapi,9,fl_unreachable,0,0,true,1,1,
fastapi,10,ok,0,0,true,1,0,
fastapi,11,fl_unreachable,0,0,true,1,1,
fastapi,12,ok,0,0,true,1,0,
fastapi,13,fl_unreachable,0,0,true,1,1,
fastapi,14,ok,0,0,true,0,0,
fastapi,15,real_failure,1,0,true,1,1,
fastapi,16,ok,0,0,true,1,0,
