Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.000828
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.001538
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,13705,1408,741,0.001958
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,13705,1408,1545,0.003566
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,13705,1408,531,0.005086
Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,26258,7680,597,0.004721
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,26258,5376,597,0.005772
Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,9956,3072,742,0.001915
Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,19649,3072,2595,0.007637
Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,27968,6528,639,0.023216
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27968,6528,639,0.029346
Agent4LR-M2R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,26610,3840,1073,0.003098
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,26610,3840,1073,0.004160
Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1073,0.006209
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1073,0.007205
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,25076,5376,1299,0.007657
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,25076,5376,2289,0.009637
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25076,6400,1073,0.011033
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,20154,9728,1209,0.005268
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,25412,8704,2199,0.008793
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25142,6528,1073,0.024770
Agent4LR-M2R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25142,5632,1073,0.028179
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,45515,3072,825,0.003422
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20467,6016,723,0.005209
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,16959,6016,1538,0.005962
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21808,6144,723,0.022735
Agent4LR-M2R3-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,11874,1024,559,0.001610
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,20637,1664,617,0.006019
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,20354,6016,5165,0.014065
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,31590,4096,717,0.037831
Agent4LR-M3R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,49915,2048,1094,0.011092
Agent4LR-M3R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,49915,2048,1094,0.019171
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,36020,10368,994,0.015543
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,36020,8704,994,0.022022
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,24336,12416,1321,0.017549
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,15186,1664,2517,0.019174
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,20080,6144,942,0.023344
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,20080,5120,942,0.024289
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,20080,5120,1292,0.024989
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.07692307692307693,20080,5120,2063,0.026531
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,20080,5120,942,0.028760
