Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,,,0,0,0,0,0,,10066,2304,556,0.000612
Agent4LR-M1R1-M1R1-M2R1,,,0,0,0,0,0,,10066,2304,556,0.001176
Agent4LR-M1R1-M1R1-M2R2,,,0,0,0,0,0,,10066,2304,818,0.001700
Agent4LR-M1R1-M1R1-M2R3,,,0,0,0,0,0,,10066,2304,925,0.001914
Agent4LR-M1R1-M1R1-M3R1,,,0,0,0,0,0,,10066,2304,556,0.004000
Agent4LR-M1R1-M2R1-M1R1,,,0,0,0,0,0,,29217,4352,694,0.005821
Agent4LR-M1R1-M2R1-M2R1,,,0,0,0,0,0,,29217,6016,694,0.006429
Agent4LR-M1R1-M2R2-M1R1,,,0,0,0,0,0,,13049,3328,756,0.002495
Agent4LR-M1R1-M2R3-M1R1,,,0,0,0,0,0,,20536,3328,3274,0.009214
Agent4LR-M1R1-M3R1-M1R1,,,0,0,0,0,0,,10064,1920,557,0.007146
Agent4LR-M1R1-M3R1-M3R1,,,0,0,0,0,0,,10064,3840,557,0.008374
Agent4LR-M2R1-M1R1-M1R1,,,0,0,0,0,0,,12140,2560,398,0.001238
Agent4LR-M2R1-M1R1-M2R1,,,0,0,0,0,0,,12140,2560,398,0.001826
Agent4LR-M2R1-M2R1-M1R1,,,0,0,0,0,0,,19993,1664,442,0.004713
Agent4LR-M2R1-M2R1-M2R1,,,0,0,0,0,0,,19993,4736,442,0.004817
Agent4LR-M2R1-M2R1-M2R2,,,0,0,0,0,0,,19993,1664,730,0.006084
Agent4LR-M2R1-M2R1-M2R3,,,0,0,0,0,0,,19993,1664,1455,0.007534
Agent4LR-M2R1-M2R1-M3R1,,,0,0,0,0,0,,19993,1664,442,0.009484
Agent4LR-M2R1-M2R2-M2R1,,,0,0,0,0,0,,15208,4992,849,0.004377
Agent4LR-M2R1-M2R3-M2R1,,,0,0,0,0,0,,19749,4992,2600,0.009014
Agent4LR-M2R1-M3R1-M2R1,,,0,0,0,0,0,,19993,3840,470,0.020819
Agent4LR-M2R1-M3R1-M3R1,,,0,0,0,0,0,,19993,1152,470,0.025400
Agent4LR-M2R2-M1R1-M1R1,,,0,0,0,0,0,,8798,1152,282,0.000967
Agent4LR-M2R2-M2R1-M2R1,,,0,0,0,0,0,,25870,2816,434,0.006702
Agent4LR-M2R2-M2R2-M2R2,,,0,0,0,0,0,,11464,0,969,0.004804
Agent4LR-M2R2-M3R1-M3R1,,,0,0,0,0,0,,19610,3584,391,0.022035
Agent4LR-M2R3-M1R1-M1R1,,,0,0,0,0,0,,6350,0,725,0.001867
Agent4LR-M2R3-M2R1-M2R1,,,0,0,0,0,0,,31613,1664,907,0.009343
Agent4LR-M2R3-M2R3-M2R3,,,0,0,0,0,0,,18154,3328,5608,0.015006
Agent4LR-M2R3-M3R1-M3R1,,,0,0,0,0,0,,12370,3584,812,0.013251
Agent4LR-M3R1-M1R1-M1R1,,,0,0,0,0,0,,11418,1920,894,0.009535
Agent4LR-M3R1-M1R1-M3R1,,,0,0,0,0,0,,11418,3072,894,0.012033
Agent4LR-M3R1-M2R1-M2R1,,,0,0,0,0,0,,19298,4352,938,0.012972
Agent4LR-M3R1-M2R1-M3R1,,,0,0,0,0,0,,19298,1664,938,0.017776
Agent4LR-M3R1-M2R2-M3R1,,,0,0,0,0,0,,19298,1664,1355,0.018610
Agent4LR-M3R1-M2R3-M3R1,,,0,0,0,0,0,,22902,7168,1975,0.018663
Agent4LR-M3R1-M3R1-M1R1,,,0,0,0,0,0,,14739,2304,930,0.021003
Agent4LR-M3R1-M3R1-M2R1,,,0,0,0,0,0,,14739,2304,930,0.021691
Agent4LR-M3R1-M3R1-M2R2,,,0,0,0,0,0,,14739,2304,1080,0.021991
Agent4LR-M3R1-M3R1-M2R3,,,0,0,0,0,0,,14739,2304,1269,0.022369
Agent4LR-M3R1-M3R1-M3R1,,,0,0,0,0,0,,14739,3456,930,0.023836
