rank;signature;path;startLine;endLine;score
1;ansible.module_utils.facts.system.distribution$DistributionFiles.parse_distribution_file_ClearLinux(self,name,data,path,collected_facts);ansible/module_utils/facts/system/distribution.py;404;421;0.9090909090909091
2;ansible.module_utils.facts.system.distribution$DistributionFiles.parse_distribution_file_NA(self,name,data,path,collected_facts);ansible/module_utils/facts/system/distribution.py;375;384;0.5458363904912633
3;ansible.module_utils.facts.system.distribution$DistributionFiles.parse_distribution_file_Debian(self,name,data,path,collected_facts);ansible/module_utils/facts/system/distribution.py;301;357;0.4280697349698977
4;ansible.module_utils.facts.system.distribution$DistributionFiles.parse_distribution_file_SUSE(self,name,data,path,collected_facts);ansible/module_utils/facts/system/distribution.py;247;299;0.23027463519284525
5;ansible.module_utils.facts.system.distribution$DistributionFiles._parse_dist_file(self,name,dist_file_content,path,collected_facts);ansible/module_utils/facts/system/distribution.py;107;142;0.18547704973666243
8;ansible.module_utils.facts.system.distribution$DistributionFiles.process_dist_files(self);ansible/module_utils/facts/system/distribution.py;164;205;0.15377224292346545
9;ansible.module_utils.common.sys_info$get_distribution_version();ansible/module_utils/common/sys_info.py;43;81;0.15020792101190977
9;ansible.module_utils.facts.system.distribution$DistributionFiles.__init__(self,module);ansible/module_utils/facts/system/distribution.py;93;94;0.15020792101190977
9;ansible.module_utils.facts.system.distribution$DistributionFiles._get_dist_file_content(self,path,allow_empty);ansible/module_utils/facts/system/distribution.py;99;105;0.15020792101190977
9;ansible.module_utils.facts.system.distribution$DistributionFiles._guess_distribution(self);ansible/module_utils/facts/system/distribution.py;151;162;0.15020792101190977
