rank;signature;path;startLine;endLine;score
1;ansible.cli.galaxy$GalaxyCLI.__init__(self,args);ansible/cli/galaxy.py;102;112;0.9999848195039014
2;ansible.cli.galaxy$GalaxyCLI.init_parser(self);ansible/cli/galaxy.py;114;187;0.9998785560312111
3;ansible.cli.galaxy$GalaxyCLI.add_download_options(self,parser,parents);ansible/cli/galaxy.py;189;206;0.998982906761393
4;ansible.cli.galaxy$GalaxyCLI.add_init_options(self,parser,parents);ansible/cli/galaxy.py;208;233;0.9987551993199137
5;ansible.playbook.collectionsearch$_ensure_default_collection(collection_list);ansible/playbook/collectionsearch.py;12;29;0.9984819503901388
6;ansible.playbook.collectionsearch$CollectionSearch._load_collections(self,attr,ds);ansible/playbook/collectionsearch.py;37;44;0.9983908674135471
7;ansible.utils.collection_loader$AnsibleCollectionLoader.default_collection(self);ansible/utils/collection_loader.py;111;113;0.9983453259252513
8;ansible.utils.singleton$Singleton.__call__(cls,*args,**kw);ansible/utils/singleton.py;21;29;0.9983301454291527
117;ansible.cli.galaxy$GalaxyCLI.execute_install(self);ansible/cli/galaxy.py;950;1091;0.9724473995810183
153;ansible.cli.galaxy$GalaxyCLI.execute_init(self);ansible/cli/galaxy.py;760;888;0.962625618605216
718;ansible.module_utils.common.collections$ImmutableDict.__iter__(self);ansible/module_utils/common/collections.py;22;23;0.8094392324741173
799;ansible.module_utils.connection$Connection.__getattr__(self,name);ansible/module_utils/connection.py;124;130;0.7912833591401767
880;ansible.module_utils.facts.compat$get_all_facts(module);ansible/module_utils/facts/compat.py;37;46;0.773916871603364
1926;ansible.playbook$Playbook.get_loader(self);ansible/playbook/__init__.py;109;110;0.31936727692260986
1998;ansible.playbook.helpers$load_list_of_tasks(ds,play,block,role,task_include,use_handlers,variable_manager,loader);ansible/playbook/helpers.py;85;368;0.30503688860551964
2068;ansible.playbook.role.definition$RoleDefinition._load_role_path(self,role_name);ansible/playbook/role/definition.py;136;201;0.28543886814221087
