Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,6395,0,898,0.000679
Agent4LR-M1R1-M1R1-M2R1,3.0,3.0,0,0,1,1,1,0.16666666666666666,6395,0,898,0.001151
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,6395,0,1082,0.001519
Agent4LR-M1R1-M1R1-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,6395,0,1285,0.001925
Agent4LR-M1R1-M1R1-M3R1,4.0,4.0,0,0,0,1,1,0.25,6395,0,898,0.003510
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,27898,5504,986,0.005155
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,27898,5504,986,0.006294
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,35013,14720,1384,0.005541
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,32387,15744,3206,0.008613
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,40370,0,1101,0.045132
Agent4LR-M1R1-M3R1-M3R1,4.0,4.0,0,0,0,1,1,0.25,40370,0,1101,0.052988
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,13905,0,846,0.002307
Agent4LR-M2R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,13905,0,846,0.003173
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,26794,0,926,0.007429
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,26794,0,926,0.008551
Agent4LR-M2R1-M2R1-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,26794,0,1358,0.009415
Agent4LR-M2R1-M2R1-M2R3,2.0,2.0,0,1,1,1,1,0.08333333333333333,26794,0,1472,0.009643
Agent4LR-M2R1-M2R1-M3R1,9.0,9.0,0,0,0,0,0,0.6666666666666666,26794,0,926,0.014160
Agent4LR-M2R1-M2R2-M2R1,4.0,4.0,0,0,0,1,1,0.25,8308,0,1090,0.004257
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,22980,3328,2589,0.010174
Agent4LR-M2R1-M3R1-M2R1,9.5,9.5,0,0,0,0,0,0.7083333333333334,22064,3072,919,0.023215
Agent4LR-M2R1-M3R1-M3R1,3.0,3.0,0,0,1,1,1,0.16666666666666666,22064,1408,919,0.028820
Agent4LR-M2R2-M1R1-M1R1,8.5,8.5,0,0,0,0,0,0.625,60885,0,1316,0.005221
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,28539,9088,1184,0.007458
Agent4LR-M2R2-M2R2-M2R2,2.0,2.0,0,1,1,1,1,0.08333333333333333,29983,6400,1804,0.009664
Agent4LR-M2R2-M3R1-M3R1,5.0,5.0,0,0,0,0,1,0.3333333333333333,24527,1408,1199,0.032811
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,6444,0,404,0.001048
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,17757,0,447,0.005333
Agent4LR-M2R3-M2R3-M2R3,4.0,4.0,0,0,0,1,1,0.25,22715,4352,7643,0.019986
Agent4LR-M2R3-M3R1-M3R1,9.0,9.0,0,0,0,0,0,0.6666666666666666,19245,0,476,0.025994
Agent4LR-M3R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,60718,6912,1005,0.010405
Agent4LR-M3R1-M1R1-M3R1,4.0,4.0,0,0,0,1,1,0.25,60718,6912,1005,0.022028
Agent4LR-M3R1-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.25,40992,8448,926,0.016290
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.08333333333333333,40992,8448,926,0.022781
Agent4LR-M3R1-M2R2-M3R1,5.0,5.0,0,0,0,0,1,0.3333333333333333,26840,1664,1183,0.020383
Agent4LR-M3R1-M2R3-M3R1,5.0,5.0,0,0,0,0,1,0.3333333333333333,20754,8704,2513,0.018503
Agent4LR-M3R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,28695,1408,911,0.036390
Agent4LR-M3R1-M3R1-M2R1,3.0,3.0,0,0,1,1,1,0.16666666666666666,28695,1408,911,0.037558
Agent4LR-M3R1-M3R1-M2R2,5.0,5.0,0,0,0,0,1,0.3333333333333333,28695,1408,1215,0.038166
Agent4LR-M3R1-M3R1-M2R3,5.0,5.0,0,0,0,0,1,0.3333333333333333,28695,1408,1574,0.038884
Agent4LR-M3R1-M3R1-M3R1,4.0,4.0,0,0,0,1,1,0.25,28695,1408,911,0.043395
