rank;signature;path;startLine;endLine;score
1;black$gen_python_files_in_dir(path,root,include,exclude,report);black.py;2934;2962;0.36419904307075684
2;black$BracketTracker.any_open_brackets(self);black.py;933;935;0.0
2;black$BracketTracker.delimiter_count_with_priority(self,priority);black.py;945;954;0.0
2;black$BracketTracker.get_open_lsqb(self);black.py;1000;1002;0.0
2;black$BracketTracker.mark(self,leaf);black.py;893;931;0.0
2;black$child_towards(ancestor,descendant);black.py;1927;1932;0.0
2;black$find_project_root(srcs);black.py;2965;2992;0.0
2;black$get_cache_file(line_length,mode);black.py;3404;3405;0.0
2;black$main(ctx,line_length,check,diff,fast,pyi,py36,skip_string_normalization,quiet,verbose,include,exclude,src,config);black.py;194;390;0.0
2;black$normalize_invisible_parens(node,parens_after);black.py;2572;2617;0.0
2;black$preceding_leaf(node);black.py;1909;1924;0.0
2;black$read_cache(line_length,mode);black.py;3408;3423;0.0
2;black$read_pyproject_toml(ctx,param,value);black.py;160;191;0.0
2;black$whitespace(leaf,complex_subscript);black.py;1679;1906;0.0
2;black$write_cache(cache,sources,line_length,mode);black.py;3448;3460;0.0
