path,line,signature
black.py,6,
black.py,13,
black.py,32,
black.py,523,
black.py,552,"black$Line.append(self,leaf,preformatted)"
black.py,553,"black$Line.append(self,leaf,preformatted)"
black.py,561,black$Line.is_comment(self)
black.py,622,black$Line.is_yield(self)
black.py,635,"black$Line.maybe_remove_trailing_comma(self,closing)"
black.py,641,"black$Line.maybe_remove_trailing_comma(self,closing)"
black.py,669,"black$Line.maybe_remove_trailing_comma(self,closing)"
black.py,697,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,698,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,699,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,700,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,701,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,702,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,703,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,704,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,705,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,706,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,712,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,713,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,714,"black$Line.maybe_adapt_standalone_comment(self,comment)"
black.py,715,
black.py,716,"black$Line.append_comment(self,comment)"
black.py,717,"black$Line.append_comment(self,comment)"
black.py,721,"black$Line.append_comment(self,comment)"
black.py,722,"black$Line.append_comment(self,comment)"
black.py,723,"black$Line.append_comment(self,comment)"
black.py,729,"black$Line.append_comment(self,comment)"
black.py,730,"black$Line.append_comment(self,comment)"
black.py,731,"black$Line.append_comment(self,comment)"
black.py,732,"black$Line.append_comment(self,comment)"
black.py,735,black$Line.last_non_delimiter(self)
black.py,736,black$Line.last_non_delimiter(self)
black.py,737,black$Line.last_non_delimiter(self)
black.py,738,black$Line.last_non_delimiter(self)
black.py,739,black$Line.last_non_delimiter(self)
black.py,740,black$Line.last_non_delimiter(self)
black.py,742,black$Line.last_non_delimiter(self)
black.py,755,black$Line.__str__(self)
black.py,812,"black$UnformattedLines.maybe_adapt_standalone_comment(self,comment)"
black.py,813,"black$UnformattedLines.maybe_adapt_standalone_comment(self,comment)"
black.py,814,"black$UnformattedLines.maybe_adapt_standalone_comment(self,comment)"
black.py,815,
black.py,1442,"black$split_line(line,line_length,inner,py36)"
black.py,1447,"black$split_line(line,line_length,inner,py36)"
black.py,1454,"black$split_line(line,line_length,inner,py36)"
black.py,1455,"black$split_line(line,line_length,inner,py36)"
black.py,1456,"black$split_line(line,line_length,inner,py36)"
black.py,1457,"black$split_line(line,line_length,inner,py36)"
black.py,1458,"black$split_line(line,line_length,inner,py36)"
black.py,1467,"black$split_line(line,line_length,inner,py36)"
black.py,1520,"black$left_hand_split(line,py36)"
black.py,1521,"black$left_hand_split(line,py36)"
black.py,1560,"black$right_hand_split(line,py36)"
black.py,1561,"black$right_hand_split(line,py36)"
black.py,1598,"black$delimiter_split(line,py36)"
black.py,1619,"black$delimiter_split(line,py36)"
black.py,1620,"black$delimiter_split(line,py36)"
black.py,1621,"black$delimiter_split(line,py36)"
black.py,1622,"black$delimiter_split(line,py36)"
black.py,1632,"black$delimiter_split(line,py36)"
black.py,1643,"black$delimiter_split(line,py36)"
