rank;signature;path;startLine;endLine;score
1;blib2to3.pytree$WildcardPattern.__init__(self,content,min,max,name);blib2to3/pytree.py;634;667;1.0
2;black$is_vararg(leaf,within);black.py;2924;2944;0.8170478398333952
3;black$normalize_string_quotes(leaf);black.py;2601;2665;0.8111401769380489
4;black$Line.append(self,leaf,preformatted);black.py;1095;1121;0.6806904718385074
5;black$assert_equivalent(src,dst);black.py;3342;3411;0.581402280393437
5;black$normalize_invisible_parens(node,parens_after);black.py;2713;2762;0.581402280393437
23;black$generate_trailers_to_omit(line,line_length);black.py;3091;3138;0.2822403516116751
35;black$enumerate_reversed(sequence);black.py;3507;3512;0.2570080554476108
35;black$is_one_tuple(node);black.py;2880;2900;0.2570080554476108
35;blib2to3.pgen2.parse$Parser.setup(self,start);blib2to3/pgen2/parse.py;89;111;0.2570080554476108
50;black$DebugVisitor.visit_default(self,node);black.py;809;827;0.0
50;black$normalize_numeric_literal(leaf);black.py;2668;2701;0.0
50;black$split_line(line,line_length,inner,features);black.py;2166;2239;0.0
50;blib2to3.pgen2.driver$Driver.parse_string(self,text,debug);blib2to3/pgen2/driver.py;112;115;0.0
50;blib2to3.pytree$Base.replace(self,new);blib2to3/pytree.py;101;123;0.0
