rank;signature;path;startLine;endLine;score
1;black$DebugVisitor.visit_default(self,node);black.py;809;827;1.0
2;black$generate_trailers_to_omit(line,line_length);black.py;3091;3138;0.9998268205489789
3;black$enumerate_reversed(sequence);black.py;3507;3512;0.9997031209411066
4;black$split_line(line,line_length,inner,features);black.py;2166;2239;0.9996907509803193
5;black$is_one_tuple(node);black.py;2880;2900;0.9995299414900854
23;black$normalize_numeric_literal(leaf);black.py;2668;2701;0.9979218465877463
26;black$normalize_invisible_parens(node,parens_after);black.py;2713;2762;0.9977981469798741
48;black$Line.append(self,leaf,preformatted);black.py;1095;1121;0.9961900520775349
55;black$is_vararg(leaf,within);black.py;2924;2944;0.9957076236068332
87;blib2to3.pgen2.driver$Driver.parse_string(self,text,debug);blib2to3/pgen2/driver.py;112;115;0.9927883128610482
89;blib2to3.pgen2.parse$Parser.setup(self,start);blib2to3/pgen2/parse.py;89;111;0.9924419539590059
106;black$normalize_string_quotes(leaf);black.py;2601;2665;0.9883846068207964
117;black$assert_equivalent(src,dst);black.py;3342;3411;0.9855766257220965
243;blib2to3.pytree$Base.replace(self,new);blib2to3/pytree.py;101;123;0.9493079006939548
277;blib2to3.pytree$WildcardPattern.__init__(self,content,min,max,name);blib2to3/pytree.py;634;667;0.9455721725362131
