corpus_id;path;startLine;endLine
cookiecutter.cli$main(template,extra_context,no_input,checkout,verbose,replay,overwrite_if_exists,output_dir,config_file,default_config,debug_file,directory,skip_if_file_exists,accept_hooks);cookiecutter/cli.py;46;181
cookiecutter.config$get_config(config_path);cookiecutter/config.py;55;79
cookiecutter.generate$is_copy_only_path(path,context);cookiecutter/generate.py;28;45
cookiecutter.generate$apply_overwrites_to_context(context,overwrite_context);cookiecutter/generate.py;48;67
cookiecutter.generate$generate_context(context_file,default_context,extra_context);cookiecutter/generate.py;70;111
cookiecutter.generate$generate_file(project_dir,infile,context,env,skip_if_file_exists);cookiecutter/generate.py;114;189
cookiecutter.generate$ensure_dir_is_templated(dirname);cookiecutter/generate.py;221;226
cookiecutter.generate$generate_files(repo_dir,context,output_dir,overwrite_if_exists,skip_if_file_exists,accept_hooks);cookiecutter/generate.py;255;380
cookiecutter.main$cookiecutter(template,checkout,no_input,extra_context,replay,overwrite_if_exists,output_dir,config_file,default_config,password,directory,skip_if_file_exists,accept_hooks);cookiecutter/main.py;21;115
cookiecutter.zipfile$unzip(zip_uri,is_url,clone_to_dir,no_input,password);cookiecutter/zipfile.py;13;112
