Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.15384615384615385,4798,0,423,0.000409
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,4798,0,423,0.000766
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,4798,0,859,0.001638
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,4798,0,1249,0.002418
Agent4LR-M1R1-M1R1-M3R1,3.0,3.0,0,0,1,1,1,0.15384615384615385,4798,0,423,0.002549
Agent4LR-M1R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.15384615384615385,38333,2688,647,0.008487
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,38333,1664,647,0.009846
Agent4LR-M1R1-M2R2-M1R1,4.0,4.0,0,0,0,1,1,0.23076923076923078,16078,4352,1075,0.003764
Agent4LR-M1R1-M2R3-M1R1,3.0,3.0,0,0,1,1,1,0.15384615384615385,18263,0,2087,0.007281
Agent4LR-M1R1-M3R1-M1R1,4.0,4.0,0,0,0,1,1,0.23076923076923078,32088,3968,639,0.031482
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,32088,3968,639,0.038094
Agent4LR-M2R1-M1R1-M1R1,4.0,4.0,0,0,0,1,1,0.23076923076923078,27216,1280,715,0.002464
Agent4LR-M2R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27216,1280,715,0.003500
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,40276,6400,745,0.008896
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,40276,10112,745,0.009284
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,40276,6400,981,0.010591
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,40276,6400,2308,0.013245
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,40276,6400,745,0.016233
Agent4LR-M2R1-M2R2-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,18662,2688,1076,0.006213
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,13209,0,2104,0.007510
Agent4LR-M2R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27391,0,702,0.031715
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,27391,0,702,0.036854
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,6535,1024,454,0.001107
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,32147,5376,617,0.008061
Agent4LR-M2R2-M2R2-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,7611,0,886,0.003675
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25055,0,598,0.034054
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,44459,6144,796,0.003030
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,23445,1664,674,0.006835
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,9180,0,3069,0.008433
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18202,0,653,0.025317
Agent4LR-M3R1-M1R1-M1R1,4.0,4.0,0,0,0,1,1,0.23076923076923078,7755,0,655,0.006473
Agent4LR-M3R1-M1R1-M3R1,9.0,9.0,0,0,0,0,0,0.6153846153846154,7755,0,655,0.009321
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,23734,0,729,0.012245
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,23734,0,729,0.016996
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25471,7040,1054,0.016636
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,22274,7040,2447,0.018462
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,26927,1536,799,0.034052
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,26927,3200,799,0.034655
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,26927,1536,994,0.035420
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.07692307692307693,26927,1536,1293,0.036018
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,26927,3712,799,0.037473
