rank;signature;path;startLine;endLine;score
1;fastapi.applications$FastAPI.__call__(self,scope,receive,send);fastapi/applications.py;136;142;1.0
2;fastapi.dependencies.utils$solve_dependencies(request,dependant,body,background_tasks,response,dependency_overrides_provider,dependency_cache);fastapi/dependencies/utils.py;433;566;0.9993881921076782
3;fastapi.dependencies.utils$request_params_to_args(required_params,received_params);fastapi/dependencies/utils.py;569;614;0.9938819210767819
4;fastapi.dependencies.utils$request_body_to_args(required_params,received_body);fastapi/dependencies/utils.py;617;685;0.9932701131844601
5;fastapi.encoders$jsonable_encoder(obj,include,exclude,by_alias,skip_defaults,exclude_unset,include_none,custom_encoder,sqlalchemy_safe);fastapi/encoders.py;29;156;0.990211073722851
8;fastapi.routing$get_request_handler(dependant,body_field,status_code,response_class,response_field,response_model_include,response_model_exclude,response_model_by_alias,response_model_exclude_unset,dependency_overrides_provider);fastapi/routing.py;84;152;0.9825634750688284
9;fastapi.utils$get_field_info(field);fastapi/utils.py;30;34;0.9807280513918629
351;fastapi.encoders$generate_encoders_by_class_tuples(type_encoder_map);fastapi/encoders.py;14;23;0.38941572346283265
357;fastapi.openapi.docs$get_swagger_ui_oauth2_redirect_html();fastapi/openapi/docs.py;105;175;0.37197919853166106
365;fastapi.openapi.utils$get_openapi_params(dependant);fastapi/openapi/utils.py;67;74;0.28081982257571125
388;fastapi.routing$APIRoute.__init__(self,path,endpoint,response_model,status_code,tags,dependencies,summary,description,response_description,responses,deprecated,name,methods,operation_id,response_model_include,response_model_exclude,response_model_by_alias,response_model_exclude_unset,include_in_schema,response_class,dependency_overrides_provider,callbacks);fastapi/routing.py;197;343;0.18491893545426735
394;fastapi.routing$APIRouter.websocket(self,path,name);fastapi/routing.py;499;504;0.14668094218415417
412;fastapi.security.http$HTTPBase.__call__(self,request);fastapi/security/http.py;35;47;0.06714591618231876
431;fastapi.utils$create_cloned_field(field);fastapi/utils.py;89;154;0.026460691342918324
