Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,19441,1664,1063,0.001315
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,19441,1664,1063,0.002190
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.09090909090909091,19441,1664,1256,0.002576
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,19441,1664,1777,0.003618
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19441,1664,1063,0.006568
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,34305,1664,1115,0.007865
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,34305,1664,1115,0.008905
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,18199,5376,1280,0.004094
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,14522,0,1864,0.005144
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,26957,0,1136,0.030117
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,26957,0,1136,0.035897
Agent4LR-M2R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,8624,0,282,0.000981
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,8624,0,282,0.001506
Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,9492,0,318,0.002457
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,9492,0,318,0.003009
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,9492,0,558,0.003489
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,9492,0,987,0.004347
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,9492,0,318,0.005767
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,9492,0,543,0.003459
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,10298,0,1554,0.005683
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,18246,0,454,0.021846
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18246,0,454,0.025162
Agent4LR-M2R2-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,14839,0,960,0.002545
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,14624,0,968,0.005592
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,15826,0,1328,0.006612
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,18162,0,1033,0.025936
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,46046,0,1338,0.004569
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,13414,1664,1177,0.005333
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,9592,0,2851,0.008100
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,20517,0,1263,0.029619
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,14484,1280,697,0.006931
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14484,2560,697,0.010189
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,19854,1664,713,0.011008
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19854,1664,713,0.015016
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,12053,2688,742,0.009575
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,12053,0,1357,0.013829
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.09090909090909091,12027,0,698,0.018299
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,12027,0,698,0.018918
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,12027,0,891,0.019304
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,12027,0,1000,0.019522
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,12027,0,698,0.022014
