corpus_id;path;startLine;endLine
fastapi.concurrency$contextmanager_in_threadpool(cm);fastapi/concurrency.py;37;46
fastapi.dependencies.utils$request_params_to_args(required_params,received_params);fastapi/dependencies/utils.py;569;614
fastapi.dependencies.utils$request_body_to_args(required_params,received_body);fastapi/dependencies/utils.py;617;685
fastapi.encoders$jsonable_encoder(obj,include,exclude,by_alias,skip_defaults,exclude_unset,include_none,custom_encoder,sqlalchemy_safe);fastapi/encoders.py;13;133
fastapi.exception_handlers$request_validation_exception_handler(request,exc);fastapi/exception_handlers.py;18;23
fastapi.exceptions$RequestValidationError.__init__(self,errors);fastapi/exceptions.py;24;28
fastapi.openapi.docs$get_swagger_ui_html(openapi_url,title,swagger_js_url,swagger_css_url,swagger_favicon_url,oauth2_redirect_url,init_oauth);fastapi/openapi/docs.py;8;60
fastapi.params$Depends.__init__(self,dependency,use_cache);fastapi/params.py;315;317
fastapi.routing$serialize_response(field,response,include,exclude,by_alias,exclude_unset);fastapi/routing.py;50;81
fastapi.routing$get_request_handler(dependant,body_field,status_code,response_class,response_field,response_model_include,response_model_exclude,response_model_by_alias,response_model_exclude_unset,dependency_overrides_provider);fastapi/routing.py;84;152
fastapi.utils$get_flat_models_from_routes(routes);fastapi/utils.py;48;67
fastapi.utils$create_cloned_field(field);fastapi/utils.py;88;153
