Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,2.0,1,1,1,1,1,0.09090909090909091,23110,0,1142,0.001612
Agent4LR-M1R1-M1R1-M2R1,3.0,3.5,0,0,1,1,1,0.18181818181818182,23110,0,1142,0.002564
Agent4LR-M1R1-M1R1-M2R2,2.0,3.5,0,1,1,1,1,0.2727272727272727,23110,0,1354,0.002988
Agent4LR-M1R1-M1R1-M2R3,3.0,3.5,0,0,1,1,1,0.18181818181818182,23110,0,2507,0.005294
Agent4LR-M1R1-M1R1-M3R1,2.0,5.75,0,1,1,1,1,0.6818181818181818,23110,0,1142,0.007321
Agent4LR-M1R1-M2R1-M1R1,2.0,5.5,0,1,1,1,1,0.6363636363636364,25732,3328,1172,0.005623
Agent4LR-M1R1-M2R1-M2R1,2.0,2.5,0,1,1,1,1,0.09090909090909091,25732,3328,1172,0.006489
Agent4LR-M1R1-M2R2-M1R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,17913,1664,1782,0.005350
Agent4LR-M1R1-M2R3-M1R1,1.0,1.5,1,1,1,1,1,0.0,21618,1664,4721,0.012103
Agent4LR-M1R1-M3R1-M1R1,2.0,5.5,0,1,1,1,1,0.6363636363636364,37128,0,1286,0.044244
Agent4LR-M1R1-M3R1-M3R1,2.0,2.5,0,1,1,1,1,0.09090909090909091,37128,0,1286,0.050036
Agent4LR-M2R1-M1R1-M1R1,1.0,2.0,1,1,1,1,1,0.09090909090909091,28483,0,1068,0.003202
Agent4LR-M2R1-M1R1-M2R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,28483,0,1068,0.004074
Agent4LR-M2R1-M2R1-M1R1,1.0,2.0,1,1,1,1,1,0.09090909090909091,21021,0,1032,0.006512
Agent4LR-M2R1-M2R1-M2R1,2.0,3.5,0,1,1,1,1,0.2727272727272727,21021,0,1032,0.007319
Agent4LR-M2R1-M2R1-M2R2,2.0,3.0,0,1,1,1,1,0.18181818181818182,21021,0,1311,0.007877
Agent4LR-M2R1-M2R1-M2R3,3.0,4.0,0,0,1,1,1,0.2727272727272727,21021,0,1605,0.008465
Agent4LR-M2R1-M2R1-M3R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,21021,0,1032,0.011353
Agent4LR-M2R1-M2R2-M2R1,2.0,3.5,0,1,1,1,1,0.2727272727272727,17129,1792,1546,0.006971
Agent4LR-M2R1-M2R3-M2R1,1.0,3.0,1,1,1,1,1,0.2727272727272727,28017,7680,3803,0.012882
Agent4LR-M2R1-M3R1-M2R1,1.0,3.0,1,1,1,1,1,0.2727272727272727,32708,0,1132,0.040020
Agent4LR-M2R1-M3R1-M3R1,1.0,1.5,1,1,1,1,1,0.0,32708,0,1132,0.045454
Agent4LR-M2R2-M1R1-M1R1,1.0,2.0,1,1,1,1,1,0.09090909090909091,33524,0,656,0.002522
Agent4LR-M2R2-M2R1-M2R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,25876,0,653,0.007775
Agent4LR-M2R2-M2R2-M2R2,2.0,3.0,0,1,1,1,1,0.18181818181818182,12884,1408,1853,0.006610
Agent4LR-M2R2-M3R1-M3R1,1.0,3.0,1,1,1,1,1,0.2727272727272727,31510,0,699,0.043459
Agent4LR-M2R3-M1R1-M1R1,1.0,1.5,1,1,1,1,1,0.0,37482,0,1889,0.005186
Agent4LR-M2R3-M2R1-M2R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,18346,0,1786,0.008158
Agent4LR-M2R3-M2R3-M2R3,2.0,3.0,0,1,1,1,1,0.18181818181818182,18503,1664,5364,0.014979
Agent4LR-M2R3-M3R1-M3R1,1.0,3.0,1,1,1,1,1,0.2727272727272727,10983,0,1742,0.018366
Agent4LR-M3R1-M1R1-M1R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,6406,0,667,0.006644
Agent4LR-M3R1-M1R1-M3R1,1.0,3.0,1,1,1,1,1,0.2727272727272727,6406,0,667,0.009829
Agent4LR-M3R1-M2R1-M2R1,3.0,3.5,0,0,1,1,1,0.18181818181818182,27686,0,849,0.013667
Agent4LR-M3R1-M2R1-M3R1,3.0,3.5,0,0,1,1,1,0.18181818181818182,27686,0,849,0.017951
Agent4LR-M3R1-M2R2-M3R1,1.0,2.5,1,1,1,1,1,0.18181818181818182,15943,1536,1253,0.014758
Agent4LR-M3R1-M2R3-M3R1,1.0,1.5,1,1,1,1,1,0.0,19520,1536,3603,0.020557
Agent4LR-M3R1-M3R1-M1R1,1.0,2.0,1,1,1,1,1,0.09090909090909091,15786,0,811,0.023565
Agent4LR-M3R1-M3R1-M2R1,3.0,4.0,0,0,1,1,1,0.2727272727272727,15786,0,811,0.024278
Agent4LR-M3R1-M3R1-M2R2,3.0,3.5,0,0,1,1,1,0.18181818181818182,15786,0,970,0.024595
Agent4LR-M3R1-M3R1-M2R3,3.0,4.0,0,0,1,1,1,0.2727272727272727,15786,0,1460,0.025576
Agent4LR-M3R1-M3R1-M3R1,3.0,4.0,0,0,1,1,1,0.2727272727272727,15786,0,811,0.027842
