corpus_id;path;startLine;endLine
httpie.cli$HTTPieHelpFormatter.__init__(self,max_help_position,*args,**kwargs);httpie/cli.py;35;38
httpie.client$get_requests_session();httpie/client.py;30;36
httpie.client$get_response(args,config_dir);httpie/client.py;39;58
httpie.client$encode_headers(headers);httpie/client.py;66;72
httpie.client$get_default_headers(args);httpie/client.py;75;91
httpie.client$get_requests_kwargs(args,base_headers);httpie/client.py;94;147
httpie.core$get_exit_status(http_status,follow);httpie/core.py;32;44
httpie.core$main(args,env,error);httpie/core.py;70;211
httpie.input$HTTPieArgumentParser._process_output_options(self);httpie/input.py;349;372
httpie.output.formatters.json$JSONFormatter.format_body(self,body,mime);httpie/output/formatters/json.py;12;26
httpie.plugins.base$ConverterPlugin.supports(cls,mime);httpie/plugins/base.py;60;62
httpie.sessions$Session._get_path(self);httpie/sessions.py;92;93
httpie.utils$load_json_preserve_order(s);httpie/utils.py;7;10
