rank;signature;path;startLine;endLine;score
1;httpie.core$main(args,env,error);httpie/core.py;70;211;1.0
2;httpie.cli$HTTPieHelpFormatter.__init__(self,max_help_position,*args,**kwargs);httpie/cli.py;35;38;0.5512180075412046
3;httpie.client$get_requests_kwargs(args,base_headers);httpie/client.py;94;147;0.4487819924587953
3;httpie.core$get_exit_status(http_status,follow);httpie/core.py;32;44;0.4487819924587953
3;httpie.input$HTTPieArgumentParser._process_output_options(self);httpie/input.py;349;372;0.4487819924587953
7;httpie.client$encode_headers(headers);httpie/client.py;66;72;0.0
7;httpie.client$get_default_headers(args);httpie/client.py;75;91;0.0
7;httpie.client$get_requests_session();httpie/client.py;30;36;0.0
7;httpie.client$get_response(args,config_dir);httpie/client.py;39;58;0.0
7;httpie.output.formatters.json$JSONFormatter.format_body(self,body,mime);httpie/output/formatters/json.py;12;26;0.0
7;httpie.plugins.base$ConverterPlugin.supports(cls,mime);httpie/plugins/base.py;60;62;0.0
7;httpie.sessions$Session._get_path(self);httpie/sessions.py;92;93;0.0
7;httpie.utils$load_json_preserve_order(s);httpie/utils.py;7;10;0.0
