Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,19802,1280,550,0.001147
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,19802,1280,550,0.001948
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,19802,1280,787,0.002422
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,19802,1280,1544,0.003936
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19802,1280,550,0.005956
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,35416,3968,680,0.007472
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,35416,3968,680,0.008470
Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,25583,1920,727,0.005653
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.1,34738,9600,5215,0.015574
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,30868,2304,686,0.031862
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,30868,2304,686,0.037747
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,36733,2560,606,0.002730
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,36733,2560,606,0.003733
Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,19953,5248,540,0.004389
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,19953,3968,540,0.005175
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,19953,3968,955,0.006005
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,19953,3968,1219,0.006533
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19953,3968,540,0.008792
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,22103,6016,803,0.005778
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,16543,1664,2155,0.008071
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25653,6400,605,0.022526
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25653,6400,605,0.027029
Agent4LR-M2R2-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.4,18495,0,1517,0.003943
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,21331,1664,1525,0.008008
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,25993,5504,1896,0.009052
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25993,3840,1576,0.031876
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,52465,0,2285,0.006862
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,30735,2688,2168,0.011415
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,19619,5376,3762,0.011219
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,19849,5120,2124,0.023668
Agent4LR-M3R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.2,51051,2560,1051,0.010813
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,51051,1280,1051,0.019269
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,24453,0,870,0.014492
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,24453,0,870,0.019148
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,20015,5888,996,0.015630
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,24511,1664,1741,0.020559
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.2,22405,6400,912,0.025147
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,22405,6400,912,0.025943
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,22405,6400,1153,0.026425
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,22405,6400,1848,0.027815
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22405,6400,912,0.029926
