path,line,signature
keras/backend/tensorflow_backend.py,14,
keras/backend/tensorflow_backend.py,1206,"keras.backend.tensorflow_backend$update(x,new_x)"
keras/backend/tensorflow_backend.py,1220,"keras.backend.tensorflow_backend$update_add(x,increment)"
keras/backend/tensorflow_backend.py,1234,"keras.backend.tensorflow_backend$update_sub(x,decrement)"
keras/backend/tensorflow_backend.py,2880,keras.backend.tensorflow_backend$get_variable_shape(x)
keras/backend/tensorflow_backend.py,2902,"keras.backend.tensorflow_backend$print_tensor(x,message)"
keras/backend/tensorflow_backend.py,2903,"keras.backend.tensorflow_backend$print_tensor(x,message)"
keras/backend/theano_backend.py,1381,"keras.backend.theano_backend$print_tensor(x,message)"
keras/backend/theano_backend.py,1382,"keras.backend.theano_backend$print_tensor(x,message)"
keras/initializers.py,83,"keras.initializers$RandomNormal.__call__(self,shape,dtype)"
keras/initializers.py,84,"keras.initializers$RandomNormal.__call__(self,shape,dtype)"
keras/initializers.py,111,"keras.initializers$RandomUniform.__call__(self,shape,dtype)"
keras/initializers.py,112,"keras.initializers$RandomUniform.__call__(self,shape,dtype)"
keras/initializers.py,144,"keras.initializers$TruncatedNormal.__call__(self,shape,dtype)"
keras/initializers.py,145,"keras.initializers$TruncatedNormal.__call__(self,shape,dtype)"
keras/initializers.py,213,"keras.initializers$VarianceScaling.__call__(self,shape,dtype)"
keras/initializers.py,214,"keras.initializers$VarianceScaling.__call__(self,shape,dtype)"
keras/initializers.py,217,"keras.initializers$VarianceScaling.__call__(self,shape,dtype)"
keras/initializers.py,218,"keras.initializers$VarianceScaling.__call__(self,shape,dtype)"
keras/initializers.py,251,"keras.initializers$Orthogonal.__call__(self,shape,dtype)"
tests/keras/backend/backend_test.py,483,
tests/keras/backend/backend_test.py,486,
tests/keras/backend/backend_test.py,487,
tests/keras/backend/backend_test.py,585,
tests/keras/backend/backend_test.py,587,
tests/keras/backend/backend_test.py,589,
tests/keras/backend/backend_test.py,590,
tests/keras/backend/backend_test.py,592,
tests/keras/backend/backend_test.py,597,
tests/keras/backend/backend_test.py,599,
tests/keras/backend/backend_test.py,601,
tests/keras/backend/backend_test.py,602,
tests/keras/backend/backend_test.py,604,
tests/keras/backend/backend_test.py,715,
tests/keras/backend/backend_test.py,1366,
tests/keras/backend/backend_test.py,1368,
tests/keras/backend/backend_test.py,1369,
tests/keras/backend/backend_test.py,1370,
tests/keras/backend/backend_test.py,1374,
tests/keras/backend/backend_test.py,1375,
tests/keras/backend/backend_test.py,1376,
tests/keras/backend/backend_test.py,1377,
tests/keras/backend/backend_test.py,1378,
tests/keras/backend/backend_test.py,1379,
tests/keras/backend/backend_test.py,1380,
tests/keras/backend/backend_test.py,1384,
tests/keras/backend/backend_test.py,1385,
tests/keras/backend/backend_test.py,1390,
tests/keras/backend/backend_test.py,1391,
tests/keras/backend/backend_test.py,1392,
tests/keras/backend/backend_test.py,1393,
tests/keras/backend/backend_test.py,1394,
tests/keras/backend/backend_test.py,1395,
tests/keras/backend/backend_test.py,1398,
tests/keras/backend/backend_test.py,1399,
tests/keras/backend/backend_test.py,1404,
tests/keras/backend/backend_test.py,1405,
tests/keras/backend/backend_test.py,1406,
tests/keras/backend/backend_test.py,1407,
tests/keras/backend/backend_test.py,1408,
tests/keras/backend/backend_test.py,1409,
tests/keras/backend/backend_test.py,1415,
tests/keras/backend/backend_test.py,1416,
tests/keras/backend/backend_test.py,1417,
tests/keras/backend/backend_test.py,2125,
tests/keras/backend/backend_test.py,2126,
tests/keras/backend/backend_test.py,2127,
tests/keras/backend/backend_test.py,2128,
tests/keras/backend/backend_test.py,2129,
tests/keras/backend/backend_test.py,2130,
tests/keras/backend/backend_test.py,2131,
tests/keras/backend/backend_test.py,2132,
tests/keras/backend/backend_test.py,2133,
tests/keras/backend/backend_test.py,2134,
