rank;signature;path;startLine;endLine;score
1;keras.backend.tensorflow_backend$get_session();keras/backend/tensorflow_backend.py;150;205;1.0
2;keras.backend.tensorflow_backend$set_learning_phase(value);keras/backend/tensorflow_backend.py;134;147;0.9998595110986233
3;keras.backend.tensorflow_backend$reset_uids();keras/backend/tensorflow_backend.py;75;79;0.9998314133183479
4;keras.backend.tensorflow_backend$clear_session();keras/backend/tensorflow_backend.py;82;96;0.9998033155380724
5;keras.backend.tensorflow_backend$ctc_label_dense_to_sparse(labels,label_lengths);keras/backend/tensorflow_backend.py;3891;3925;0.9995785332958697
6;keras.backend.tensorflow_backend$ctc_batch_cost(y_true,y_pred,input_length,label_length);keras/backend/tensorflow_backend.py;3928;3953;0.9990446754706378
7;keras.backend.common$epsilon();keras/backend/common.py;13;25;0.9988479910087104
8;keras.backend.tensorflow_backend$reverse(x,axes);keras/backend/tensorflow_backend.py;2283;2296;0.998819893228435
9;keras.backend.tensorflow_backend$concatenate(tensors,axis);keras/backend/tensorflow_backend.py;1862;1882;0.9987355998876088
19;keras.backend.tensorflow_backend$batch_dot(x,y,axes);keras/backend/tensorflow_backend.py;1080;1164;0.9974431019949423
49;keras.backend.tensorflow_backend$rnn(step_function,inputs,initial_states,go_backwards,mask,constants,unroll,input_length);keras/backend/tensorflow_backend.py;2538;2779;0.9936218038774937
68;keras.backend.tensorflow_backend$ctc_decode(y_pred,input_length,greedy,beam_width,top_paths);keras/backend/tensorflow_backend.py;3956;4000;0.9842652430457994
78;keras.backend.tensorflow_backend$ones(shape,dtype,name);keras/backend/tensorflow_backend.py;699;728;0.9832818207361619
485;keras.backend.tensorflow_backend$batch_set_value(tuples);keras/backend/tensorflow_backend.py;2350;2374;0.6787299803315539
872;keras.engine.training$Model.fit(self,x,y,batch_size,epochs,verbose,callbacks,validation_split,validation_data,shuffle,class_weight,sample_weight,initial_epoch,steps_per_epoch,validation_steps,**kwargs);keras/engine/training.py;1503;1705;0.47136836189940995
