Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,,,0,0,0,0,0,,16087,0,643,0.001062
Agent4LR-M1R1-M1R1-M2R1,,,0,0,0,0,0,,16087,0,643,0.001621
Agent4LR-M1R1-M1R1-M2R2,,,0,0,0,0,0,,16087,0,1032,0.002399
Agent4LR-M1R1-M1R1-M2R3,,,0,0,0,0,0,,16087,0,1715,0.003765
Agent4LR-M1R1-M1R1-M3R1,,,0,0,0,0,0,,16087,0,643,0.004417
Agent4LR-M1R1-M2R1-M1R1,,,0,0,0,0,0,,18400,0,693,0.004557
Agent4LR-M1R1-M2R1-M2R1,,,0,0,0,0,0,,18400,0,693,0.005136
Agent4LR-M1R1-M2R2-M1R1,,,0,0,0,0,0,,15796,1664,1286,0.004738
Agent4LR-M1R1-M2R3-M1R1,,,0,0,0,0,0,,13732,0,1862,0.005766
Agent4LR-M1R1-M3R1-M1R1,,,0,0,0,0,0,,15849,4608,713,0.013304
Agent4LR-M1R1-M3R1-M3R1,,,0,0,0,0,0,,15849,4608,713,0.016660
Agent4LR-M2R1-M1R1-M1R1,,,0,0,0,0,0,,11529,1664,694,0.001796
Agent4LR-M2R1-M1R1-M2R1,,,0,0,0,0,0,,11529,1664,694,0.002266
Agent4LR-M2R1-M2R1-M1R1,,,0,0,0,0,0,,16704,1792,780,0.004752
Agent4LR-M2R1-M2R1-M2R1,,,0,0,0,0,0,,16704,1792,780,0.005333
Agent4LR-M2R1-M2R1-M2R2,,,0,0,0,0,0,,16704,1792,943,0.005659
Agent4LR-M2R1-M2R1-M2R3,,,0,0,0,0,0,,16704,1792,1627,0.007027
Agent4LR-M2R1-M2R1-M3R1,,,0,0,0,0,0,,16704,1792,780,0.008238
Agent4LR-M2R1-M2R2-M2R1,,,0,0,0,0,0,,13710,0,912,0.005252
Agent4LR-M2R1-M2R3-M2R1,,,0,0,0,0,0,,16701,1664,2681,0.009163
Agent4LR-M2R1-M3R1-M2R1,,,0,0,0,0,0,,13777,4992,787,0.011898
Agent4LR-M2R1-M3R1-M3R1,,,0,0,0,0,0,,13777,4992,787,0.014355
Agent4LR-M2R2-M1R1-M1R1,,,0,0,0,0,0,,19813,0,650,0.001974
Agent4LR-M2R2-M2R1-M2R1,,,0,0,0,0,0,,16789,0,614,0.005425
Agent4LR-M2R2-M2R2-M2R2,,,0,0,0,0,0,,14748,2688,1533,0.006148
Agent4LR-M2R2-M3R1-M3R1,,,0,0,0,0,0,,12147,2176,599,0.015110
Agent4LR-M2R3-M1R1-M1R1,,,0,0,0,0,0,,13490,0,564,0.001646
Agent4LR-M2R3-M2R1-M2R1,,,0,0,0,0,0,,13180,0,592,0.004479
Agent4LR-M2R3-M2R3-M2R3,,,0,0,0,0,0,,10633,0,3076,0.008810
Agent4LR-M2R3-M3R1-M3R1,,,0,0,0,0,0,,3068,0,432,0.004427
Agent4LR-M3R1-M1R1-M1R1,,,0,0,0,0,0,,9080,0,620,0.006212
Agent4LR-M3R1-M1R1-M3R1,,,0,0,0,0,0,,9080,0,620,0.008808
Agent4LR-M3R1-M2R1-M2R1,,,0,0,0,0,0,,13220,1408,692,0.008964
Agent4LR-M3R1-M2R1-M3R1,,,0,0,0,0,0,,13220,2688,692,0.009915
Agent4LR-M3R1-M2R2-M3R1,,,0,0,0,0,0,,13956,1408,1130,0.011507
Agent4LR-M3R1-M2R3-M3R1,,,0,0,0,0,0,,13956,2944,2474,0.013965
Agent4LR-M3R1-M3R1-M1R1,,,0,0,0,0,0,,13238,2944,720,0.017566
Agent4LR-M3R1-M3R1-M2R1,,,0,0,0,0,0,,13238,2944,720,0.018045
Agent4LR-M3R1-M3R1-M2R2,,,0,0,0,0,0,,13238,2944,900,0.018405
Agent4LR-M3R1-M3R1-M2R3,,,0,0,0,0,0,,13238,2944,1267,0.019138
Agent4LR-M3R1-M3R1-M3R1,,,0,0,0,0,0,,13238,2944,720,0.020436
