rank;signature;path;startLine;endLine;score
1;keras.wrappers.scikit_learn$BaseWrapper.check_params(self,params);keras/wrappers/scikit_learn.py;64;90;0.47619047619047616
1;keras.wrappers.scikit_learn$BaseWrapper.fit(self,x,y,**kwargs);keras/wrappers/scikit_learn.py;118;154;0.47619047619047616
3;keras.backend.tensorflow_backend$abs(x);keras/backend/tensorflow_backend.py;1606;1615;0.4280697349698977
3;keras.backend.tensorflow_backend$identity(x,name);keras/backend/tensorflow_backend.py;829;839;0.4280697349698977
3;keras.backend.tensorflow_backend$mean(x,axis,keepdims);keras/backend/tensorflow_backend.py;1513;1531;0.4280697349698977
3;keras.engine.training$Model.compile(self,optimizer,loss,metrics,loss_weights,sample_weight_mode,weighted_metrics,target_tensors,**kwargs);keras/engine/training.py;37;473;0.4280697349698977
3;keras.engine.training_utils$standardize_single_array(x);keras/engine/training_utils.py;17;30;0.4280697349698977
3;keras.wrappers.scikit_learn$KerasRegressor.predict(self,x,**kwargs);keras/wrappers/scikit_learn.py;308;323;0.4280697349698977
14;keras.engine.training$Model.fit(self,x,y,batch_size,epochs,verbose,callbacks,validation_split,validation_data,shuffle,class_weight,sample_weight,initial_epoch,steps_per_epoch,validation_steps,**kwargs);keras/engine/training.py;826;1040;0.3414802408943917
14;keras.engine.training$Model.predict(self,x,batch_size,verbose,steps);keras/engine/training.py;1116;1170;0.3414802408943917
182;keras.engine.training$Model.evaluate(self,x,y,batch_size,verbose,sample_weight,steps);keras/engine/training.py;1042;1114;0.0
182;keras.wrappers.scikit_learn$KerasClassifier.predict_proba(self,x,**kwargs);keras/wrappers/scikit_learn.py;236;262;0.0
