Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,29989,1664,748,0.001716
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,29989,1664,748,0.002920
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,29989,1664,943,0.003310
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,29989,1664,1606,0.004636
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,29989,1664,748,0.008941
Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,39978,7424,728,0.007295
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,39978,7424,728,0.008729
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.1,24389,7040,819,0.004029
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.1,30208,9088,3672,0.010935
Agent4LR-M1R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,53085,1152,821,0.056661
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,53085,1152,821,0.066964
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,21843,1152,563,0.002095
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,21843,1152,563,0.003058
Agent4LR-M2R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,22147,5376,535,0.004496
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,22147,5376,535,0.005397
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,22147,5376,877,0.006081
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,22147,5376,1604,0.007535
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22147,5376,535,0.009901
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,13804,2688,752,0.004350
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,29263,5376,3122,0.012350
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,35893,6144,613,0.035015
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,35893,4608,613,0.041637
Agent4LR-M2R2-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,6839,0,519,0.001465
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,32780,2688,657,0.008904
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,22385,0,1604,0.008804
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,32428,1152,664,0.041304
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,21498,2304,1038,0.002949
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,21607,2688,1010,0.006817
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,13444,0,2750,0.008861
Agent4LR-M2R3-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,43892,5760,1111,0.051632
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,26544,4608,1040,0.010970
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,26544,3456,1040,0.018129
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,69269,16512,1086,0.023653
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,69269,12800,1086,0.035112
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,30021,8832,1351,0.022139
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,27833,9984,2893,0.019867
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.1,52040,4352,1112,0.059122
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,52040,4352,1112,0.061147
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,52040,4352,1404,0.061731
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,52040,4352,1777,0.062477
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,52040,5504,1112,0.069978
