rank;signature;path;startLine;endLine;score
1;luigi.scheduler$CentralPlannerScheduler._update_priority(self,task,prio,worker);luigi/scheduler.py;571;582;1.0
2;luigi.scheduler$Task.can_disable(self);luigi/scheduler.py;213;215;0.9998573669947226
3;luigi.parameter$Parameter.serialize(self,x);luigi/parameter.py;225;233;0.9997860504920839
4;luigi.task$task_id_str(task_family,params);luigi/task.py;70;87;0.9997147339894451
5;luigi.task$Task.task_family(self);luigi/task.py;196;201;0.9992868349736129
6;luigi.task$Task.__init__(self,*args,**kwargs);luigi/task.py;277;293;0.9992155184709742
7;luigi.task$Task.to_str_params(self,only_significant);luigi/task.py;315;325;0.998502353444587
14;luigi.scheduler$Task.__init__(self,task_id,status,deps,resources,priority,family,module,params,disable_failures,disable_window,disable_hard_timeout,tracking_url,status_message);luigi/scheduler.py;164;193;0.996790757381258
16;luigi.scheduler$Task.has_excessive_failures(self);luigi/scheduler.py;201;211;0.9966481243759806
17;luigi.scheduler$SimpleTaskState.set_status(self,task,new_status,config);luigi/scheduler.py;371;407;0.9965054913707032
18;luigi.scheduler$Failures.num_failures(self);luigi/scheduler.py;137;146;0.996291541862787
20;luigi.scheduler$Task.add_failure(self);luigi/scheduler.py;198;199;0.9953644273284838
32;luigi.scheduler$CentralPlannerScheduler.__init__(self,config,resources,task_history_impl,**kwargs);luigi/scheduler.py;500;522;0.9879475110540579
76;luigi.scheduler$SimpleTaskState.re_enable(self,task,config);luigi/scheduler.py;364;369;0.9658393952360577
78;luigi.scheduler$SimpleTaskState.update_status(self,task,config);luigi/scheduler.py;419;434;0.9640564826700898
1217;luigi.scheduler$CentralPlannerScheduler.resources(self);luigi/scheduler.py;1059;1069;0.2200827271430609
1220;luigi.scheduler$CentralPlannerScheduler.set_task_status_message(self,task_id,status_message);luigi/scheduler.py;1101;1104;0.21822849807445444
