Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,7004,0,649,0.000610
Agent4LR-M1R1-M1R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,7004,0,649,0.001094
Agent4LR-M1R1-M1R1-M2R2,3.0,3.0,0,0,1,1,1,0.14285714285714285,7004,0,815,0.001426
Agent4LR-M1R1-M1R1-M2R3,3.0,3.0,0,0,1,1,1,0.14285714285714285,7004,0,1520,0.002836
Agent4LR-M1R1-M1R1-M3R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,7004,0,649,0.003513
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,30875,7680,853,0.006139
Agent4LR-M1R1-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,30875,5504,853,0.007097
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,19875,4480,1153,0.004877
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,17881,3328,2415,0.006788
Agent4LR-M1R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,27070,4096,901,0.028477
Agent4LR-M1R1-M3R1-M3R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,27070,3072,901,0.032855
Agent4LR-M2R1-M1R1-M1R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,8199,0,418,0.001260
Agent4LR-M2R1-M1R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,8199,0,418,0.001712
Agent4LR-M2R1-M2R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,26125,1664,577,0.006549
Agent4LR-M2R1-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,26125,3328,577,0.006936
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,26125,1664,1026,0.008209
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,26125,1664,1838,0.009833
Agent4LR-M2R1-M2R1-M3R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,26125,1664,577,0.011121
Agent4LR-M2R1-M2R2-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,15257,1664,724,0.004888
Agent4LR-M2R1-M2R3-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,15257,1664,2432,0.008304
Agent4LR-M2R1-M3R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,19902,3072,575,0.019931
Agent4LR-M2R1-M3R1-M3R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,19902,4096,575,0.022604
Agent4LR-M2R2-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,5570,1024,324,0.000927
Agent4LR-M2R2-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,13654,0,412,0.004237
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,13809,1664,1340,0.005758
Agent4LR-M2R2-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,16099,6144,504,0.015405
Agent4LR-M2R3-M1R1-M1R1,9.5,9.5,0,0,0,0,0,0.6071428571428571,7403,3328,367,0.000978
Agent4LR-M2R3-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,25050,4992,535,0.006209
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,16375,3328,2416,0.008177
Agent4LR-M2R3-M3R1-M3R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,14135,3072,503,0.016116
Agent4LR-M3R1-M1R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,11875,1024,698,0.007138
Agent4LR-M3R1-M1R1-M3R1,10.0,10.0,0,0,0,0,0,0.6428571428571429,11875,1024,698,0.010450
Agent4LR-M3R1-M2R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,28478,4352,808,0.013019
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,28478,2688,808,0.017473
Agent4LR-M3R1-M2R2-M3R1,10.5,10.5,0,0,0,0,0,0.6785714285714286,14161,1664,782,0.012808
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.07142857142857142,16864,1024,2120,0.015525
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.14285714285714285,25021,2048,842,0.032593
Agent4LR-M3R1-M3R1-M2R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,25021,2048,842,0.033393
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.07142857142857142,25021,2048,964,0.033637
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.07142857142857142,25021,2048,1715,0.035139
Agent4LR-M3R1-M3R1-M3R1,4.0,4.0,0,0,0,1,1,0.21428571428571427,25021,2048,842,0.037392
