rank;signature;path;startLine;endLine;score
1;luigi.contrib.beam_dataflow$BeamDataflowJobTask._get_runner(self);luigi/contrib/beam_dataflow.py;320;331;1.0
2;luigi.scheduler$SimpleTaskState.get_worker_ids(self);luigi/scheduler.py;654;655;0.935456300733839
3;luigi.contrib.beam_dataflow$BeamDataflowJobTask._format_input_args(self);luigi/contrib/beam_dataflow.py;378;444;0.8816829223227557
3;luigi.contrib.beam_dataflow$BeamDataflowJobTask._format_output_args(self);luigi/contrib/beam_dataflow.py;446;470;0.8816829223227557
5;luigi.contrib.bigquery_avro$BigQueryLoadAvro._get_input_schema(self);luigi/contrib/bigquery_avro.py;40;75;0.8762861349442169
6;luigi.contrib.beam_dataflow$BeamDataflowJobTask.get_target_path(target);luigi/contrib/beam_dataflow.py;472;479;0.8328952803484182
20;luigi.contrib.bigquery$BigQueryTarget.__init__(self,project_id,dataset_id,table_id,client,location);luigi/contrib/bigquery.py;397;399;0.6395961676028874
65;luigi.contrib.beam_dataflow$BeamDataflowJobTask.__init__(self);luigi/contrib/beam_dataflow.py;219;221;0.4132168339564484
65;luigi.contrib.beam_dataflow$BeamDataflowJobTask._mk_cmd_line(self);luigi/contrib/beam_dataflow.py;311;318;0.4132168339564484
394;luigi.contrib.beam_dataflow$BeamDataflowJobTask.run(self);luigi/contrib/beam_dataflow.py;289;309;0.0
394;luigi.contrib.beam_dataflow$DataflowParamKeys.project(self);luigi/contrib/beam_dataflow.py;45;47;0.0
394;luigi.contrib.bigquery$BigQueryTarget.__str__(self);luigi/contrib/bigquery.py;413;414;0.0
