path,line,signature
luigi/task_register.py,138,luigi.task_register$Register.__get_reg(cls)
luigi/task_register.py,139,luigi.task_register$Register.__get_reg(cls)
test/cmdline_test.py,56,
test/cmdline_test.py,57,
test/cmdline_test.py,58,
test/cmdline_test.py,59,
test/cmdline_test.py,60,
test/cmdline_test.py,61,
test/cmdline_test.py,62,
test/cmdline_test.py,63,
test/cmdline_test.py,64,
test/cmdline_test.py,65,
test/cmdline_test.py,118,
test/cmdline_test.py,119,
test/cmdline_test.py,120,
test/cmdline_test.py,121,
test/cmdline_test.py,122,
test/cmdline_test.py,123,
