corpus_id;path;startLine;endLine
luigi.contrib.hadoop$run_and_track_hadoop_job(arglist,tracking_url_callback,env);luigi/contrib/hadoop.py;253;350
luigi.execution_summary$_partition_tasks(worker);luigi/execution_summary.py;35;58
luigi.execution_summary$_depth_first_search(set_tasks,current_task,visited);luigi/execution_summary.py;77;105
luigi.execution_summary$_summary_format(set_tasks,worker);luigi/execution_summary.py;339;400
luigi.retcodes$run_with_retcodes(argv);luigi/retcodes.py;60;105
luigi.s3$S3Client.copy(self,source_path,destination_path,threads,start_time,end_time,part_size,**kwargs);luigi/s3.py;304;386
luigi.scheduler$Failures.add_failure(self);luigi/scheduler.py;172;181
luigi.scheduler$Failures.num_failures(self);luigi/scheduler.py;183;192
luigi.scheduler$Task.add_failure(self);luigi/scheduler.py;320;321
luigi.scheduler$Task.has_excessive_failures(self);luigi/scheduler.py;323;333
luigi.scheduler$SimpleTaskState.set_status(self,task,new_status,config);luigi/scheduler.py;510;560
luigi.task$Task.get_task_family(cls);luigi/task.py;279;292
luigi.task$Task.__init__(self,*args,**kwargs);luigi/task.py;372;388
luigi.task$Task.complete(self);luigi/task.py;475;490
luigi.task$Task.run(self);luigi/task.py;574;580
luigi.task$_task_wraps(task_class);luigi/task.py;826;833
luigi.worker$Worker.__init__(self,scheduler,worker_id,worker_processes,assistant,**kwargs);luigi/worker.py;387;435
luigi.worker$Worker._handle_next_task(self);luigi/worker.py;909;975
