rank;signature;path;startLine;endLine;score
1;matplotlib.axis$Tick._apply_params(self,**kw);matplotlib/axis.py;327;380;1.0
2;matplotlib.axis$YAxis.tick_right(self);matplotlib/axis.py;2305;2316;0.9727338827496398
3;matplotlib.axis$XAxis.tick_bottom(self);matplotlib/axis.py;2033;2043;0.9667944685102808
3;matplotlib.axis$XAxis.tick_top(self);matplotlib/axis.py;2021;2031;0.9667944685102808
3;matplotlib.axis$YAxis.tick_left(self);matplotlib/axis.py;2318;2329;0.9667944685102808
6;matplotlib.axis$Axis.set_tick_params(self,which,reset,**kw);matplotlib/axis.py;798;831;0.9220408661670062
92;matplotlib.axis$Axis.get_offset_text(self);matplotlib/axis.py;1157;1159;0.47403253625752234
898;matplotlib.text$Text.__repr__(self);matplotlib/text.py;125;126;0.20013696604591932
908;matplotlib.axes._axes$Axes.get_xlabel(self);matplotlib/axes/_axes.py;182;187;0.19776479538329228
908;matplotlib.axes._axes$Axes.get_ylabel(self);matplotlib/axes/_axes.py;235;240;0.19776479538329228
967;matplotlib.axes._axes$Axes.get_title(self,loc);matplotlib/axes/_axes.py;92;115;0.18181753437304699
2490;matplotlib.axes._base$_process_plot_var_args._plot_args(self,tup,kwargs);matplotlib/axes/_base.py;308;360;0.0
2490;matplotlib.axis$Axis.get_scale(self);matplotlib/axis.py;734;735;0.0
2490;matplotlib.cbook$_check_1d(x);matplotlib/cbook/__init__.py;1286;1327;0.0
2490;matplotlib.cbook$index_of(y);matplotlib/cbook/__init__.py;1572;1597;0.0
