rank;signature;path;startLine;endLine;score
1;matplotlib.text$Text.__repr__(self);matplotlib/text.py;125;126;0.9090909090909091
2;matplotlib.axis$Axis.get_offset_text(self);matplotlib/axis.py;1157;1159;0.660408825313113
3;matplotlib.cbook$index_of(y);matplotlib/cbook/__init__.py;1572;1597;0.18547704973666243
4;matplotlib.axes._base$_process_plot_var_args._plot_args(self,tup,kwargs);matplotlib/axes/_base.py;308;360;0.18230992780733027
5;matplotlib.cbook$_check_1d(x);matplotlib/cbook/__init__.py;1286;1327;0.10000505088898526
139;matplotlib.axis$Axis.get_scale(self);matplotlib/axis.py;734;735;0.04470061382552085
139;matplotlib.axis$Axis.set_tick_params(self,which,reset,**kw);matplotlib/axis.py;798;831;0.04470061382552085
139;matplotlib.axis$Tick._apply_params(self,**kw);matplotlib/axis.py;327;380;0.04470061382552085
385;matplotlib.axes._axes$Axes.get_title(self,loc);matplotlib/axes/_axes.py;92;115;0.0
385;matplotlib.axes._axes$Axes.get_xlabel(self);matplotlib/axes/_axes.py;182;187;0.0
385;matplotlib.axes._axes$Axes.get_ylabel(self);matplotlib/axes/_axes.py;235;240;0.0
385;matplotlib.axis$XAxis.tick_bottom(self);matplotlib/axis.py;2033;2043;0.0
385;matplotlib.axis$XAxis.tick_top(self);matplotlib/axis.py;2021;2031;0.0
385;matplotlib.axis$YAxis.tick_left(self);matplotlib/axis.py;2318;2329;0.0
385;matplotlib.axis$YAxis.tick_right(self);matplotlib/axis.py;2305;2316;0.0
