path,line,signature
matplotlib/axes/_axes.py,1126,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1127,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1129,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1130,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1132,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1133,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1134,"matplotlib.axes._axes$Axes.hlines(self,y,xmin,xmax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1204,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1205,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1207,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1208,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1210,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1211,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
matplotlib/axes/_axes.py,1212,"matplotlib.axes._axes$Axes.vlines(self,x,ymin,ymax,colors,linestyles,label,**kwargs)"
