corpus_id;path;startLine;endLine
matplotlib$_init_tests();matplotlib/__init__.py;1364;1397
matplotlib.axes._base$_AxesBase.invert_xaxis(self);matplotlib/axes/_base.py;3038;3048
matplotlib.axes._base$_AxesBase.get_xticks(self,minor);matplotlib/axes/_base.py;3332;3334
matplotlib.axis$Axis.reset_ticks(self);matplotlib/axis.py;842;860
matplotlib.axis$Axis.set_ticks(self,ticks,minor);matplotlib/axis.py;1741;1763
matplotlib.axis$_make_getset_interval(method_name,lim_name,attr_name);matplotlib/axis.py;1875;1902
matplotlib.axis$XAxis.set_inverted(self,inverted);matplotlib/axis.py;2156;2159
matplotlib.backends.backend_agg$FigureCanvasAgg.print_png(self,filename_or_obj,*args,metadata,pil_kwargs,**kwargs);matplotlib/backends/backend_agg.py;450;532
matplotlib.backends.qt_compat$_setup_pyqt4();matplotlib/backends/qt_compat.py;84;131
matplotlib.font_manager$FontManager.findfont(self,prop,fontext,directory,fallback_to_default,rebuild_if_missing);matplotlib/font_manager.py;1179;1238
matplotlib.projections.geo$GeoAxes.set_xlim(self,*args,**kwargs);matplotlib/projections/geo.py;152;155
matplotlib.projections.polar$PolarAxes.set_rmax(self,rmax);matplotlib/projections/polar.py;1112;1120
matplotlib.pyplot$colormaps();matplotlib/pyplot.py;1786;2028
matplotlib.transforms$nonsingular(vmin,vmax,expander,tiny,increasing);matplotlib/transforms.py;2791;2842
