rank;signature;path;startLine;endLine;score
1;matplotlib.pyplot$autoscale(enable,axis,tight);matplotlib/pyplot.py;2398;2400;1.0
2;matplotlib.axes._base$_AxesBase.set_ybound(self,lower,upper);matplotlib/axes/_base.py;3477;3515;0.9999887563386141
3;matplotlib.pyplot$subplot(*args,**kwargs);matplotlib/pyplot.py;931;1087;0.9999662690158423
4;matplotlib.pyplot$delaxes(ax);matplotlib/pyplot.py;882;890;0.9999437816930705
5;matplotlib.axis$Axis.set_inverted(self,inverted);matplotlib/axis.py;999;1011;0.9999212943702988
275;matplotlib.axis$XAxis.get_minpos(self);matplotlib/axis.py;2156;2157;0.981065674226155
287;matplotlib.axis$YAxis.get_minpos(self);matplotlib/axis.py;2458;2459;0.9800987193469681
522;matplotlib.axes._axes$Axes.get_title(self,loc);matplotlib/axes/_axes.py;126;151;0.9627497498285341
1011;matplotlib.font_manager$FontManager.findfont(self,prop,fontext,directory,fallback_to_default,rebuild_if_missing);matplotlib/font_manager.py;1179;1238;0.9007072263011727
1430;matplotlib.projections.geo$GeoAxes.cla(self);matplotlib/projections/geo.py;42;59;0.8657506830524292
1715;matplotlib$_init_tests();matplotlib/__init__.py;1364;1397;0.8442190714984428
2993;matplotlib.backends.backend_qt5agg$FigureCanvasQTAgg.blit(self,bbox);matplotlib/backends/backend_qt5agg.py;74;85;0.5649602536570009
3065;matplotlib.backends.backend_tkagg$FigureCanvasTkAgg.draw(self);matplotlib/backends/backend_tkagg.py;8;11;0.5529520232968664
3279;matplotlib.backends.qt_compat$_setup_pyqt4();matplotlib/backends/qt_compat.py;84;131;0.529936248439942
4362;matplotlib.projections.polar$PolarAxes.set_rticks(self,*args,**kwargs);matplotlib/projections/polar.py;1269;1270;0.2927736988272861
4451;matplotlib.pyplot$colormaps();matplotlib/pyplot.py;1786;2028;0.2771225221781221
4678;matplotlib.sphinxext.plot_directive$run(arguments,content,options,state_machine,state,lineno);matplotlib/sphinxext/plot_directive.py;656;844;0.22753797546633087
