rank;signature;path;startLine;endLine;score
1;pandas.core.algorithms$diff(arr,n,axis);pandas/core/algorithms.py;1890;1968;1.0
2;pandas.core.series$Series.diff(self,periods);pandas/core/series.py;2417;2479;0.999807568954458
3;pandas.core.internals.blocks$get_block_type(values,dtype);pandas/core/internals/blocks.py;3004;3047;0.9997984055713369
4;pandas.core.construction$sanitize_array(data,index,dtype,copy,raise_cast_failure);pandas/core/construction.py;368;488;0.9997800788050949
5;pandas.core.dtypes.cast$maybe_convert_platform(values);pandas/core/dtypes/cast.py;65;75;0.9997709154219738
888;pandas.core.series$Series.apply(self,func,convert_dtype,args,**kwds);pandas/core/series.py;3834;3969;0.9498671309447448
889;pandas.core.series$Series._constructor(self);pandas/core/series.py;395;397;0.9497663337304133
891;pandas.core.series$Series._constructor_expanddim(self);pandas/core/series.py;399;403;0.9496288829835975
892;pandas.core.series$Series._reindex_indexer(self,new_index,indexer,copy);pandas/core/series.py;4022;4031;0.9495555759186292
2220;pandas.core.algorithms$mode(values,dropna);pandas/core/algorithms.py;835;877;0.8644369101072116
2980;pandas.core.construction$array(data,dtype,copy);pandas/core/construction.py;51;314;0.7479153303399615
3154;pandas.core.frame$DataFrame.append(self,other,ignore_index,verify_integrity,sort);pandas/core/frame.py;6890;7030;0.6786768074773206
