rank;signature;path;startLine;endLine;score
1;pandas.core.indexes.category$CategoricalIndex.get_indexer_non_unique(self,target);pandas/core/indexes/category.py;553;567;1.0
2;pandas.core.indexes.category$CategoricalIndex.get_indexer(self,target,method,limit,tolerance);pandas/core/indexes/category.py;517;551;0.9432670587797531
3;pandas.core.indexes.interval$IntervalIndex.get_indexer(self,target,method,limit,tolerance);pandas/core/indexes/interval.py;737;812;0.9269794368501914
4;pandas.core.indexes.interval$IntervalIndex.get_indexer_non_unique(self,target);pandas/core/indexes/interval.py;814;854;0.8935141208168408
5;pandas.core.indexes.base$_new_Index(cls,d);pandas/core/indexes/base.py;164;181;0.8660313772835432
11;pandas.core.indexes.base$Index.get_indexer_non_unique(self,target);pandas/core/indexes/base.py;4653;4668;0.7672245120367773
14;pandas.core.indexes.period$PeriodIndex.get_indexer_non_unique(self,target);pandas/core/indexes/period.py;453;465;0.727030768088382
47;pandas.core.indexes.period$PeriodIndex._maybe_convert_timedelta(self,other);pandas/core/indexes/period.py;262;299;0.5873348515201032
64;pandas.core.indexes.multi$MultiIndex.get_indexer_non_unique(self,target);pandas/core/indexes/multi.py;2403;2405;0.5452913620338061
79;pandas.core.arrays.datetimes$DatetimeArray.astype(self,dtype,copy);pandas/core/arrays/datetimes.py;578;605;0.518334070419399
176;pandas.core.arrays.datetimes$DatetimeArray.to_period(self,freq);pandas/core/arrays/datetimes.py;1053;1116;0.41928680961053233
259;pandas.core.indexes.base$Index.__new__(cls,data,dtype,copy,name,tupleize_cols,**kwargs);pandas/core/indexes/base.py;284;420;0.3742995303670927
1078;pandas.core.indexes.base$Index._shallow_copy_with_infer(self,values,**kwargs);pandas/core/indexes/base.py;511;535;0.1941560542227516
1804;pandas.core.indexes.datetimelike$DatetimeIndexOpsMixin._partial_date_slice(self,reso,parsed,use_lhs,use_rhs);pandas/core/indexes/datetimelike.py;384;427;0.11460303516209984
1957;pandas._testing$assert_numpy_array_equal(left,right,strict_nan,check_dtype,err_msg,check_same,obj);pandas/_testing.py;916;990;0.1011883179720036
2141;pandas._testing$raise_assert_detail(obj,message,left,right,diff);pandas/_testing.py;891;913;0.09425404575266579
2899;pandas.core.indexes.timedeltas$TimedeltaIndex._maybe_promote(self,other);pandas/core/indexes/timedeltas.py;211;214;0.06194627931188686
3045;pandas.core.indexes.datetimes$DatetimeIndex._convert_for_op(self,value);pandas/core/indexes/datetimes.py;293;299;0.0603360121392128
3283;pandas.core.groupby.generic$SeriesGroupBy._selection_name(self);pandas/core/groupby/generic.py;158;168;0.0
3283;pandas.core.groupby.groupby$_group_selection_context(groupby);pandas/core/groupby/groupby.py;338;345;0.0
3283;pandas.core.indexes.datetimelike$DatetimeIndexOpsMixin.is_all_dates(self);pandas/core/indexes/datetimelike.py;100;102;0.0
