corpus_id;path;startLine;endLine
pandas.core.arrays.datetimelike$DatetimeLikeArrayMixin.__getitem__(self,key);pandas/core/arrays/datetimelike.py;496;548
pandas.core.arrays.datetimelike$DatetimeLikeArrayMixin.freqstr(self);pandas/core/arrays/datetimelike.py;920;927
pandas.core.arrays.datetimes$DatetimeArray.__iter__(self);pandas/core/arrays/datetimes.py;572;593
pandas.core.arrays.datetimes$maybe_convert_dtype(data,copy);pandas/core/arrays/datetimes.py;1903;1953
pandas.core.common$is_bool_indexer(key);pandas/core/common.py;99;153
pandas.core.construction$_try_cast(arr,dtype,copy,raise_cast_failure);pandas/core/construction.py;506;567
pandas.core.generic$NDFrame.copy(self,deep);pandas/core/generic.py;5673;5779
pandas.core.indexes.base$Index.__repr__(self);pandas/core/indexes/base.py;868;885
pandas.core.indexes.base$Index._format_data(self,name);pandas/core/indexes/base.py;904;919
pandas.core.indexes.base$Index._format_attrs(self);pandas/core/indexes/base.py;921;925
pandas.core.indexes.base$Index.dropna(self,how);pandas/core/indexes/base.py;1944;1951
pandas.core.indexes.datetimelike$DatetimeIndexOpsMixin.take(self,indices,axis,allow_fill,fill_value,**kwargs);pandas/core/indexes/datetimelike.py;245;261
pandas.core.indexes.datetimelike$DatetimeIndexOpsMixin.repeat(self,repeats,axis);pandas/core/indexes/datetimelike.py;486;490
pandas.core.indexes.datetimelike$DatetimeTimedeltaMixin._set_freq(self,freq);pandas/core/indexes/datetimelike.py;630;651
pandas.core.indexes.datetimes$DatetimeIndex.__array__(self,dtype);pandas/core/indexes/datetimes.py;297;298
pandas.core.indexes.datetimes$DatetimeIndex._mpl_repr(self);pandas/core/indexes/datetimes.py;368;370
pandas.core.indexes.datetimes$DatetimeIndex._maybe_promote(self,other);pandas/core/indexes/datetimes.py;668;671
pandas.core.resample$asfreq(obj,freq,method,how,normalize,fill_value);pandas/core/resample.py;1771;1796
