rank;signature;path;startLine;endLine;score
1;sanic.testing$SanicTestClient._sanic_endpoint_test(self,method,uri,gather_request,debug,server_kwargs,host,*request_args,**request_kwargs);sanic/testing.py;65;150;1.0
2;sanic.app$Sanic.handle_request(self,request,write_callback,stream_callback);sanic/app.py;917;1039;0.8598288731204188
3;sanic.app$Sanic.__init__(self,name,router,error_handler,load_env,request_class,strict_slashes,log_config,configure_logging);sanic/app.py;41;92;0.8241192102382023
4;examples.run_asgi$print_on_response(request,response);examples/run_asgi.py;86;88;0.7632784720907946
5;sanic.blueprints$Blueprint.register(self,app,options);sanic/blueprints.py;95;174;0.6947829307716177
10;sanic.blueprints$Blueprint.middleware(self,*args,**kwargs);sanic/blueprints.py;322;349;0.6546848795951679
11;sanic.app$Sanic.register_named_middleware(self,middleware,route_names,attach_to);sanic/app.py;642;656;0.6493543249604196
14;sanic.app$Sanic._run_response_middleware(self,request,response,request_name);sanic/app.py;1309;1324;0.6126906576090092
25;sanic.router$Router.add(self,uri,methods,handler,host,strict_slashes,version,name);sanic/router.py;121;185;0.38949076639588964
47;sanic.app$Sanic.route(self,uri,methods,host,strict_slashes,stream,version,name);sanic/app.py;164;230;0.3110639190575588
235;sanic.router$Router.__init__(self);sanic/router.py;82;89;0.08480510136647455
288;sanic.blueprints$Blueprint.listener(self,event);sanic/blueprints.py;310;320;0.027845513738374843
334;sanic.request$Request.__repr__(self);sanic/request.py;132;134;0.0
334;sanic.response$HTTPResponse.cookies(self);sanic/response.py;162;166;0.0
