rank;signature;path;startLine;endLine;score
1;scrapy.selector.unified$Selector.xpath(self,query);scrapy/selector/unified.py;89;109;1.0
2;scrapy.commands$ScrapyCommand.__init__(self);scrapy/commands/__init__.py;22;23;0.8133476929077211
2;scrapy.commands$ScrapyCommand.process_options(self,args,opts);scrapy/commands/__init__.py;78;101;0.8133476929077211
2;scrapy.commands.crawl$Command.process_options(self,args,opts);scrapy/commands/crawl.py;26;48;0.8133476929077211
2;scrapy.commands.runspider$Command.process_options(self,args,opts);scrapy/commands/runspider.py;49;71;0.8133476929077211
13;scrapy.utils.engine$format_engine_status(engine);scrapy/utils/engine.py;35;42;0.6047201260247815
13;scrapy.utils.engine$get_engine_status(engine);scrapy/utils/engine.py;6;33;0.6047201260247815
13;scrapy.utils.testproc$ProcessTest.execute(self,args,check_code,settings);scrapy/utils/testproc.py;14;22;0.6047201260247815
36;scrapy.cmdline$_iter_command_classes(module_name);scrapy/cmdline.py;17;25;0.0
36;scrapy.commands$ScrapyCommand.run(self,args,opts);scrapy/commands/__init__.py;103;107;0.0
36;scrapy.utils.defer$defer_fail(_failure);scrapy/utils/defer.py;10;19;0.0
36;scrapy.utils.engine$print_engine_status(engine);scrapy/utils/engine.py;44;45;0.0
36;scrapy.utils.request$request_httprepr(request);scrapy/utils/request.py;73;87;0.0
36;scrapy.utils.response$response_httprepr(response);scrapy/utils/response.py;61;72;0.0
36;scrapy.utils.test$get_pythonpath();scrapy/utils/test.py;35;39;0.0
36;scrapy.utils.test$get_testenv();scrapy/utils/test.py;41;47;0.0
36;scrapy.utils.testproc$ProcessTest._process_finished(self,pp,cmd,check_code);scrapy/utils/testproc.py;24;31;0.0
36;scrapy.utils.testproc$TestProcessProtocol.__init__(self);scrapy/utils/testproc.py;36;40;0.0
36;scrapy.utils.testproc$TestProcessProtocol.errReceived(self,data);scrapy/utils/testproc.py;45;46;0.0
36;scrapy.utils.testproc$TestProcessProtocol.processEnded(self,status);scrapy/utils/testproc.py;48;50;0.0
