rank;signature;path;startLine;endLine;score
1;scrapy.downloadermiddlewares.cookies$CookiesMiddleware.process_response(self,request,response,spider);scrapy/downloadermiddlewares/cookies.py;41;51;0.4280697349698977
1;scrapy.http.cookies$CookieJar.extract_cookies(self,response,request);scrapy/http/cookies.py;17;20;0.4280697349698977
3;scrapy.http.cookies$potential_domain_matches(domain);scrapy/http/cookies.py;85;101;0.3922353493794955
4;scrapy.downloadermiddlewares.cookies$CookiesMiddleware.__init__(self,debug);scrapy/downloadermiddlewares/cookies.py;16;18;0.36419904307075684
4;scrapy.downloadermiddlewares.cookies$CookiesMiddleware._debug_cookie(self,request,spider);scrapy/downloadermiddlewares/cookies.py;53;59;0.36419904307075684
4;scrapy.downloadermiddlewares.cookies$CookiesMiddleware._get_request_cookies(self,jar,request);scrapy/downloadermiddlewares/cookies.py;80;91;0.36419904307075684
4;scrapy.downloadermiddlewares.cookies$CookiesMiddleware.process_request(self,request,spider);scrapy/downloadermiddlewares/cookies.py;26;39;0.36419904307075684
4;scrapy.http.cookies$WrappedResponse.get_all(self,name,default);scrapy/http/cookies.py;173;174;0.36419904307075684
4;scrapy.utils.python$to_native_str(text,encoding,errors);scrapy/utils/python.py;123;129;0.36419904307075684
4;scrapy.utils.python$to_unicode(text,encoding,errors);scrapy/utils/python.py;97;107;0.36419904307075684
42;scrapy.downloadermiddlewares.cookies$CookiesMiddleware._debug_set_cookie(self,response,spider);scrapy/downloadermiddlewares/cookies.py;61;67;0.0
