path,line,signature
scrapy/core/engine.py,19,
scrapy/core/engine.py,138,"scrapy.core.engine$ExecutionEngine._next_request_from_scheduler(self,spider)"
scrapy/core/engine.py,141,"scrapy.core.engine$ExecutionEngine._next_request_from_scheduler(self,spider)"
scrapy/core/engine.py,144,"scrapy.core.engine$ExecutionEngine._next_request_from_scheduler(self,spider)"
scrapy/core/engine.py,156,"scrapy.core.engine$ExecutionEngine._handle_downloader_output(self,response,request,spider)"
scrapy/core/engine.py,271,"scrapy.core.engine$ExecutionEngine.close_spider(self,spider,reason)"
scrapy/core/scraper.py,13,
scrapy/core/scraper.py,110,"scrapy.core.scraper$Scraper.enqueue_scrape(self,response,request,spider)"
scrapy/core/scraper.py,156,"scrapy.core.scraper$Scraper.handle_spider_error(self,_failure,request,response,spider)"
scrapy/core/scraper.py,205,"scrapy.core.scraper$Scraper._log_download_errors(self,spider_failure,download_failure,request,spider)"
scrapy/core/scraper.py,230,"scrapy.core.scraper$Scraper._itemproc_finished(self,output,item,response,spider)"
scrapy/downloadermiddlewares/robotstxt.py,11,
scrapy/downloadermiddlewares/robotstxt.py,62,"scrapy.downloadermiddlewares.robotstxt$RobotsTxtMiddleware._logerror(self,failure,request,spider)"
scrapy/extensions/feedexport.py,22,
scrapy/extensions/feedexport.py,187,"scrapy.extensions.feedexport$FeedExporter.close_spider(self,spider)"
scrapy/log.py,1,
scrapy/log.py,2,
scrapy/log.py,3,
scrapy/log.py,14,
scrapy/log.py,15,
scrapy/log.py,16,
scrapy/log.py,17,
scrapy/log.py,20,
scrapy/log.py,22,
scrapy/log.py,23,
scrapy/log.py,24,
scrapy/log.py,25,
scrapy/log.py,26,
scrapy/log.py,27,
scrapy/log.py,30,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,31,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,32,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,33,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,35,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,36,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,37,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,38,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,39,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,40,"scrapy.log$msg(message,_level,**kw)"
scrapy/log.py,43,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,44,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,45,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,46,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,48,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,49,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,50,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/log.py,51,"scrapy.log$err(_stuff,_why,**kw)"
scrapy/pipelines/files.py,25,
scrapy/pipelines/files.py,215,"scrapy.pipelines.files$FilesPipeline.media_to_download(self,request,info)"
scrapy/pipelines/media.py,8,
scrapy/pipelines/media.py,73,"scrapy.pipelines.media$MediaPipeline._process_request(self,request,info)"
scrapy/pipelines/media.py,130,"scrapy.pipelines.media$MediaPipeline.item_completed(self,results,item,info)"
scrapy/utils/signal.py,8,
scrapy/utils/signal.py,50,"scrapy.utils.signal$send_catch_log_deferred(signal,sender,*arguments,**named)"
