Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.3076923076923077,30893,0,714,0.001830
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,30893,0,714,0.002749
Agent4LR-M1R1-M1R1-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,30893,0,987,0.003295
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,30893,0,1470,0.004261
Agent4LR-M1R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,30893,0,714,0.007342
Agent4LR-M1R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27161,0,641,0.006540
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27161,0,641,0.007347
Agent4LR-M1R1-M2R2-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,19749,2816,1105,0.005088
Agent4LR-M1R1-M2R3-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,10912,1152,2215,0.005604
Agent4LR-M1R1-M3R1-M1R1,5.0,5.0,0,0,0,0,1,0.3076923076923077,28041,8960,711,0.022601
Agent4LR-M1R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,28041,8960,711,0.027728
Agent4LR-M2R1-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.3076923076923077,24570,1408,525,0.001864
Agent4LR-M2R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,24570,1408,525,0.002655
Agent4LR-M2R1-M2R1-M1R1,5.0,5.0,0,0,0,0,1,0.3076923076923077,22545,3328,503,0.005133
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,22545,3328,503,0.005893
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,22545,3328,935,0.006757
Agent4LR-M2R1-M2R1-M2R3,2.0,2.0,0,1,1,1,1,0.07692307692307693,22545,3328,1072,0.007031
Agent4LR-M2R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,22545,3328,503,0.009695
Agent4LR-M2R1-M2R2-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,18139,3328,964,0.005714
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,14100,0,2199,0.007923
Agent4LR-M2R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27029,7040,567,0.026342
Agent4LR-M2R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,27029,5376,567,0.030932
Agent4LR-M2R2-M1R1-M1R1,9.5,9.5,0,0,0,0,0,0.6538461538461539,26805,0,712,0.002325
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,21220,7040,603,0.004927
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,12263,0,1005,0.005076
Agent4LR-M2R2-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,21865,9728,660,0.019487
Agent4LR-M2R3-M1R1-M1R1,5.0,5.0,0,0,0,0,1,0.3076923076923077,14527,1664,703,0.001865
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,29168,5632,783,0.007591
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,21558,1664,4990,0.014995
Agent4LR-M2R3-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25711,4608,845,0.030705
Agent4LR-M3R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,32558,9088,916,0.007837
Agent4LR-M3R1-M1R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,32558,9088,916,0.013500
Agent4LR-M3R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25231,4864,835,0.012127
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25231,4864,835,0.016187
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,14627,1664,1056,0.013796
Agent4LR-M3R1-M2R3-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,21057,4224,2671,0.016144
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25189,7424,877,0.027150
Agent4LR-M3R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25189,7424,877,0.027942
Agent4LR-M3R1-M3R1-M2R2,2.0,2.0,0,1,1,1,1,0.07692307692307693,25189,7424,1047,0.028282
Agent4LR-M3R1-M3R1-M2R3,2.0,2.0,0,1,1,1,1,0.07692307692307693,25189,7424,1192,0.028572
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.07692307692307693,25189,10112,877,0.028880
