corpus_id;path;startLine;endLine
scrapy.core.downloader.contextfactory$ScrapyClientContextFactory.getCertificateOptions(self);scrapy/core/downloader/contextfactory.py;35;51
scrapy.http.request$Request._get_url(self);scrapy/http/request/__init__.py;51;52
scrapy.http.request$Request._get_body(self);scrapy/http/request/__init__.py;66;67
scrapy.http.request$Request._set_body(self,body);scrapy/http/request/__init__.py;69;73
scrapy.http.request$Request.__str__(self);scrapy/http/request/__init__.py;81;82
scrapy.http.request.form$FormRequest.__init__(self,*args,**kwargs);scrapy/http/request/form.py;22;36
scrapy.http.request.form$FormRequest.from_response(cls,response,formname,formid,formnumber,formdata,clickdata,dont_click,formxpath,formcss,**kwargs);scrapy/http/request/form.py;38;52
scrapy.http.request.form$_get_form_url(form,url);scrapy/http/request/form.py;55;61
scrapy.http.request.form$_get_form(response,formname,formid,formnumber,formxpath);scrapy/http/request/form.py;71;112
scrapy.http.request.form$_get_inputs(form,formdata,dont_click,clickdata,response);scrapy/http/request/form.py;115;139
scrapy.http.request.form$_value(ele);scrapy/http/request/form.py;142;147
scrapy.http.request.form$_select_value(ele,n,v);scrapy/http/request/form.py;150;162
scrapy.http.request.form$_get_clickable(clickdata,form);scrapy/http/request/form.py;165;209
scrapy.utils.deprecate$create_deprecated_class(name,new_class,clsdict,warn_category,warn_once,old_class_path,new_class_path,subclass_warn_message,instance_warn_message);scrapy/utils/deprecate.py;15;117
