rank;signature;path;startLine;endLine;score
1;spacy.cli.download$get_json(url,desc);spacy/cli/download.py;94;105;1.0
1;spacy.cli.validate$validate();spacy/cli/validate.py;15;86;1.0
1;spacy.errors$add_codes(err_cls);spacy/errors.py;5;13;1.0
1;spacy.util$get_lang_class(lang);spacy/util.py;66;81;1.0
5;spacy.cli.init_model$read_clusters(clusters_loc);spacy/cli/init_model.py;258;284;0.9078361557629087
29;spacy.util$load_language_data(path);spacy/util.py;131;144;0.3056147812027034
131;spacy.scorer$PRFScore.__init__(self);spacy/scorer.py;15;18;0.0
131;spacy.util$ensure_path(path);spacy/util.py;119;128;0.0
131;spacy.util$get_data_path(require_exists);spacy/util.py;93;102;0.0
131;spacy.util$make_layer(arch_config);spacy/util.py;114;116;0.0
131;spacy.util$set_data_path(path);spacy/util.py;105;111;0.0
