rank;signature;path;startLine;endLine;score
1;spacy.util$get_data_path(require_exists);spacy/util.py;93;102;0.999987914677624
2;spacy.util$set_data_path(path);spacy/util.py;105;111;0.999963744032872
3;spacy.util$make_layer(arch_config);spacy/util.py;114;116;0.9998912320986162
4;spacy.util$ensure_path(path);spacy/util.py;119;128;0.9998549761314883
5;spacy.util$load_language_data(path);spacy/util.py;131;144;0.9997462082301045
10;spacy.util$get_lang_class(lang);spacy/util.py;66;81;0.9990815154994259
290;spacy.cli.download$get_json(url,desc);spacy/cli/download.py;94;105;0.9255906701311257
308;spacy.cli.init_model$read_clusters(clusters_loc);spacy/cli/init_model.py;258;284;0.9209740769835035
341;spacy.cli.validate$validate();spacy/cli/validate.py;15;86;0.9050093661248414
366;spacy.errors$add_codes(err_cls);spacy/errors.py;5;13;0.8969847120671944
657;spacy.scorer$PRFScore.__init__(self);spacy/scorer.py;15;18;0.011517312224303583
