rank;signature;path;startLine;endLine;score
1;thefuck.conf$Settings.__getattr__(self,item);thefuck/conf.py;10;11;0.561151228546748
2;thefuck.shells.bash$Bash.app_alias(self,fuck);thefuck/shells/bash.py;8;17;0.47619047619047616
2;thefuck.shells.zsh$Zsh.app_alias(self,alias_name);thefuck/shells/zsh.py;9;19;0.47619047619047616
4;thefuck.shells.bash$Bash._get_history_file_name(self);thefuck/shells/bash.py;31;33;0.0
4;thefuck.shells.bash$Bash._parse_alias(self,alias);thefuck/shells/bash.py;19;23;0.0
4;thefuck.shells.generic$Generic._expand_aliases(self,command_script);thefuck/shells/generic.py;13;19;0.0
4;thefuck.shells.generic$Generic._get_history_lines(self);thefuck/shells/generic.py;43;58;0.0
4;thefuck.shells.generic$Generic.from_shell(self,command_script);thefuck/shells/generic.py;21;23;0.0
4;thefuck.shells.generic$Generic.get_history(self);thefuck/shells/generic.py;39;41;0.0
4;thefuck.shells.generic$Generic.to_shell(self,command_script);thefuck/shells/generic.py;25;27;0.0
