path,line,signature
thefuck/shells/bash.py,1,
thefuck/shells/bash.py,4,
thefuck/shells/bash.py,12,"thefuck.shells.bash$Bash.app_alias(self,fuck)"
thefuck/shells/bash.py,27,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/bash.py,29,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/bash.py,30,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/bash.py,31,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/bash.py,32,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/bash.py,33,thefuck.shells.bash$Bash.get_aliases(self)
thefuck/shells/zsh.py,29,thefuck.shells.zsh$Zsh.get_aliases(self)
