rank;signature;path;startLine;endLine;score
1;thefuck.specific.sudo$sudo_support(fn,command,settings);thefuck/specific/sudo.py;6;22;1.0
2;thefuck.main$fix_command();thefuck/main.py;87;103;0.9904407859798194
3;thefuck.main$print_alias(entry_point);thefuck/main.py;106;116;0.9883165161975571
4;thefuck.main$main();thefuck/main.py;119;137;0.9830058417419012
5;thefuck.main$setup_user_dir();thefuck/main.py;18;25;0.9798194370685077
7;thefuck.main$get_command(settings,args);thefuck/main.py;46;74;0.9686670207116304
9;thefuck.types$SortedCorrectedCommandsSequence._realise_first(self);thefuck/types.py;68;72;0.9468932554434413
10;thefuck.types$SortedCorrectedCommandsSequence.__iter__(self);thefuck/types.py;104;107;0.9463621879978757
11;thefuck.types$SortedCorrectedCommandsSequence.__init__(self,commands,settings);thefuck/types.py;62;66;0.9453000531067446
12;thefuck.types$SortedCorrectedCommandsSequence._remove_duplicates(self,corrected_commands);thefuck/types.py;74;80;0.9426447158789166
13;thefuck.types$SortedCorrectedCommandsSequence._realise(self);thefuck/types.py;82;89;0.9405204460966543
291;thefuck.utils$cache(*depends_on);thefuck/utils.py;158;193;0.04726500265533723
